Vessel,Start Lat,Start Lon,End Lat,End Lon
FM,45.0719,-65.23333333,45.24225,-64.72031667
FM,45.14298333,-65.23333333,45.29431667,-64.79883333
LJ,45.04821667,-65.23333333,45.2249,-64.69415
LJ,45.11928333,-65.23333333,45.27695,-64.77266667
LM,45.06005,-65.23333333,45.23356667,-64.70723333
LM,45.13113333,-65.23333333,45.28563333,-64.78575
C1,45.0956,-65.23333333,45.2596,-64.74648333
C1,45.16666667,-65.23333333,45.31166667,-64.825
MS,45.22458333,-64.69133333,45.26375,-64.55
MS,45.23928333,-64.71328333,45.28528333,-64.55
MS,45.25396667,-64.73521667,45.3068,-64.55
MS,45.26866667,-64.75716667,45.32833333,-64.55
LB,45.08375,-65.23333333,45.25093333,-64.7334
LB,45.15481667,-65.23333333,45.30298333,-64.81191667
BP,45.25,-65.05,45.31666667,-64.83333333
BP,45.26305,-65.05,45.32445,-64.85
BP,45.27611667,-65.05,45.33221667,-64.86666667
BP,45.28916667,-65.05,45.34,-64.88333333
SL,45.03636667,-65.23333333,45.21621667,-64.68106667
SL,45.10743333,-65.23333333,45.26828333,-64.75958333
