Vessel,Transect.No.,Speed,Transect
BP,T01,8.480204161444425,T01
BP,T02,8.454302291542978,T02
BP,T03,9.587529058499054,T03
C1,T01,9.75157426685875,T01
C1,T02,9.642683480385617,T02
C1,T03,9.555117664742825,T03
FM,T01,8.984723894144947,T01
FM,T02,9.168501835306456,T02
FM,T03,8.582834546245614,T03
LB,T01,8.428377888380961,T01
LB,T02,9.469207877549529,T02
LB,T03,8.72709795736463,T03
LJ,T01,8.44215499062013,T01
LJ,T02,8.763826972214227,T02
LJ,T03,8.595851094017034,T03
LM,T01,8.40885887125193,T01
LM,T02,9.265336575991578,T02
LM,T03,8.595417751499737,T03
MS,T01,9.503550785451308,T01
MS,T02,9.304226058693944,T02
MS,T03,8.941829057265384,T03
SL,T01,9.177601142139816,T01
SL,T02,9.738880559548052,T02
SL,T03,9.334937568769405,T03
TM,T01,8.243539928140924,T01
TM,T02,9.204499661324778,T02
TM,T03,8.905728102979147,T03
