id,Region_ID,Region_name,Region_class,Process_ID,Interval,Layer,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,PRC_ABC,Frequency,Region_notes
1,1,LB_T01,Transect,3096,1,1,27.028752,1,189,5.950971,997.309125,20230924, 22:05:21.3830,20230924, 22:09:08.3840,43.3110178,-66.11717698,43.30248429,-66.11619547,13.1.120.0,20231023, 10:36:42.5370,LB_Sep24_2023,0.000924176,38,
2,1,LB_T01,Transect,3096,2,1,28.315309,190,327,1002.475878,1560.206076,20230924, 22:09:09.3840,20230924, 22:11:26.3840,43.30243791,-66.11619948,43.29758351,-66.11647378,13.1.120.0,20231023, 10:36:42.5370,LB_Sep24_2023,1.42281E-06,38,
3,2,LB_T02,Transect,3096,3,1,26.651872,476,722,2162.137384,2997.282129,20230924, 22:13:55.3800,20230924, 22:18:01.3810,43.29485187,-66.1107748,43.30194432,-66.11027167,13.1.120.0,20231023, 10:36:42.5370,LB_Sep24_2023,0.00127212,38,
4,2,LB_T02,Transect,3096,4,1,26.476563,723,992,3000.924406,3996.430254,20230924, 22:18:02.3810,20230924, 22:22:31.3810,43.30197709,-66.11027265,43.31047112,-66.11029403,13.1.120.0,20231023, 10:36:42.5370,LB_Sep24_2023,0.000418833,38,
5,2,LB_T02,Transect,3096,5,1,26.566337,993,1008,4000.122444,4055.332769,20230924, 22:22:32.3800,20230924, 22:22:47.3950,43.31050423,-66.11029045,43.31095472,-66.1101645,13.1.120.0,20231023, 10:36:42.5370,LB_Sep24_2023,2.27311E-07,38,
6,3,LB_T04,Transect,3096,7,1,26.584968,1511,1634,6445.319097,6996.669803,20230924, 23:01:08.3950,20230924, 23:03:11.3840,43.30014843,-66.10362912,43.29539104,-66.10365833,13.1.120.0,20231023, 10:36:42.5370,LB_Sep24_2023,5.85017E-05,38,
7,3,LB_T04,Transect,3096,8,1,25.771425,1635,1862,7001.30955,7999.450846,20230924, 23:03:12.3950,20230924, 23:06:59.3830,43.29534939,-66.10365442,43.28673454,-66.10380679,13.1.120.0,20231023, 10:36:42.5370,LB_Sep24_2023,0.00193902,38,
8,3,LB_T04,Transect,3096,9,1,24.315421,1863,2083,8003.816332,8999.908906,20230924, 23:07:00.3840,20230924, 23:10:40.3830,43.28670132,-66.10379845,43.27805528,-66.10366372,13.1.120.0,20231023, 10:36:42.5370,LB_Sep24_2023,0.000977329,38,
9,3,LB_T04,Transect,3096,10,1,24.248226,2084,2109,9004.625751,9125.26386,20230924, 23:10:41.3950,20230924, 23:11:06.3840,43.27801321,-66.10366075,43.27695136,-66.10358284,13.1.120.0,20231023, 10:36:42.5370,LB_Sep24_2023,3.24166E-06,38,
10,4,LB_T03,Transect,3096,5,1,25.665523,1113,1222,4509.141603,4974.614806,20230924, 22:24:32.3830,20230924, 22:26:21.3840,43.31048162,-66.10504945,43.30650335,-66.10449621,13.1.120.0,20231023, 10:36:42.5370,LB_Sep24_2023,1.55201E-05,38,
