Vessel,Transect.No.,Date.Time.Start,Date.Time.End,Start.Lon,Start.Lat,End.Lon,End.Lat,Dist..km.,Type,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
LB,T01,2023-08-07T00:16:55Z,2023-08-07T02:42:05Z,-66.46003833,43.56584667,-66.45925829,43.2333294,38.0681458,Actual,1,GB,38.0681458,2023-08-07T00:16:55Z,2023-08-07T02:42:05Z,145.1666667,8.495796157,2023,2023-08-06
LB,T02,2023-08-07T03:08:39Z,2023-08-07T05:29:32Z,-66.37594642,43.23087968,-66.37510936,43.56714345,38.42668362,Actual,1,GB,38.42668362,2023-08-07T03:08:39Z,2023-08-07T05:29:32Z,140.8833333,8.83654616,2023,2023-08-06
LJ,T01,2023-08-07T00:23:32Z,2023-08-07T02:48:32Z,-66.42559423,43.56592308,-66.42568721,43.23330271,37.05337998,Actual,1,GB,37.05337998,2023-08-07T00:23:32Z,2023-08-07T02:48:32Z,145,8.278832429,2023,2023-08-06
LJ,T02,2023-08-07T03:13:29Z,2023-08-07T05:36:54Z,-66.34097356,43.23393557,-66.34135147,43.56829263,37.24767052,Actual,1,GB,37.24767052,2023-08-07T03:13:29Z,2023-08-07T05:36:54Z,143.4166667,8.414121077,2023,2023-08-06
LM,T01,2023-08-07T00:17:39Z,2023-08-07T02:44:04Z,-66.47465555,43.56367635,-66.47634975,43.23287131,37.54049562,Actual,1,GB,37.54049562,2023-08-07T00:17:39Z,2023-08-07T02:44:04Z,146.4166667,8.306513034,2023,2023-08-06
LM,T02,2023-08-07T03:09:10Z,2023-08-07T05:25:10Z,-66.39176383,43.23150015,-66.392245,43.56474894,37.71829968,Actual,1,GB,37.71829968,2023-08-07T03:09:10Z,2023-08-07T05:25:10Z,136,8.985090643,2023,2023-08-06
MS,T01,2023-08-07T00:30:12Z,2023-08-07T02:49:57Z,-66.49369681,43.56472404,-66.49311278,43.23220716,39.22792188,Actual,1,GB,39.22792188,2023-08-07T00:30:12Z,2023-08-07T02:49:57Z,139.75,9.093953926,2023,2023-08-06
MS,T02,2023-08-07T03:17:00Z,2023-08-07T05:38:13Z,-66.40902328,43.23489031,-66.40886465,43.56679773,39.82371946,Actual,1,GB,39.82371946,2023-08-07T03:17:00Z,2023-08-07T05:38:13Z,141.2166667,9.136190114,2023,2023-08-06
SL,T01,2023-08-07T01:27:05Z,2023-08-07T03:51:43Z,-66.4420059,43.56323722,-66.4438089,43.23685087,39.01369565,Actual,1,GB,39.01369565,2023-08-07T01:27:05Z,2023-08-07T03:51:43Z,144.6333333,8.738923964,2023,2023-08-06
SL,T02,2023-08-07T04:17:20Z,2023-08-07T06:40:11Z,-66.35832833,43.2331588,-66.35802708,43.56603659,39.63119793,Actual,1,GB,39.63119793,2023-08-07T04:17:20Z,2023-08-07T06:40:11Z,142.85,8.988065311,2023,2023-08-07
LB,T03,2023-08-07T06:37:30Z,2023-08-07T08:36:50Z,-66.20724828,43.50448144,-66.20669754,43.2467899,29.65817119,Actual,1,GB,29.65817119,2023-08-07T06:37:30Z,2023-08-07T08:36:50Z,119.3333333,8.051779258,2023,2023-08-07
LB,T04,2023-08-07T08:55:12Z,2023-08-07T10:55:17Z,-66.14853629,43.24750011,-66.14839053,43.50203336,29.2365892,Actual,1,GB,29.2365892,2023-08-07T08:55:12Z,2023-08-07T10:55:17Z,120.0833333,7.887751777,2023,2023-08-07
LJ,T03,2023-08-07T06:35:16Z,2023-08-07T08:28:23Z,-66.18378333,43.50345382,-66.18321494,43.24642241,28.65793792,Actual,1,GB,28.65793792,2023-08-07T06:35:16Z,2023-08-07T08:28:23Z,113.1166667,8.207815831,2023,2023-08-07
LJ,T04,2023-08-07T08:45:56Z,2023-08-07T10:35:13Z,-66.11728127,43.24667182,-66.11741667,43.50067092,28.3041871,Actual,1,GB,28.3041871,2023-08-07T08:45:56Z,2023-08-07T10:35:13Z,109.2833333,8.390851159,2023,2023-08-07
LM,T03,2023-08-07T06:19:12Z,2023-08-07T08:11:52Z,-66.23329472,43.50172147,-66.2328376,43.24576219,28.99145624,Actual,1,GB,28.99145624,2023-08-07T06:19:12Z,2023-08-07T08:11:52Z,112.6666667,8.336501819,2023,2023-08-07
LM,T04,2023-08-07T08:33:27Z,2023-08-07T10:26:36Z,-66.15076093,43.24679883,-66.15283167,43.50346022,28.988423,Actual,1,GB,28.988423,2023-08-07T08:33:27Z,2023-08-07T10:26:36Z,113.15,8.300023003,2023,2023-08-07
MS,T03,2023-08-07T06:55:13Z,2023-08-07T08:48:41Z,-66.21830614,43.50152362,-66.21790333,43.24732942,30.5410213,Actual,1,GB,30.5410213,2023-08-07T06:55:13Z,2023-08-07T08:48:41Z,113.4666667,8.720161405,2023,2023-08-07
MS,T04,2023-08-07T09:03:07Z,2023-08-07T10:58:29Z,-66.1704988,43.2487218,-66.17166286,43.50149307,30.3742851,Actual,1,GB,30.3742851,2023-08-07T09:03:07Z,2023-08-07T10:58:29Z,115.3666667,8.529724119,2023,2023-08-07
SL,T03,2023-08-07T07:39:10Z,2023-08-07T09:27:33Z,-66.19544706,43.50175745,-66.19630825,43.25135983,30.1435172,Actual,1,GB,30.1435172,2023-08-07T07:39:10Z,2023-08-07T09:27:33Z,108.3833333,9.010329767,2023,2023-08-07
SL,T04,2023-08-07T09:44:49Z,2023-08-07T11:33:29Z,-66.13669563,43.25022157,-66.13647812,43.50162406,29.8901651,Actual,1,GB,29.8901651,2023-08-07T09:44:49Z,2023-08-07T11:33:29Z,108.6666667,8.911303455,2023,2023-08-07
MS,NA,NA,NA,-66.49333333,43.56666667,-66.49333333,43.23333333,NA,Plan,1,GB,37.10649767,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,-66.47644444,43.56666667,-66.47644444,43.23333333,NA,Plan,1,GB,37.10649767,NA,NA,NA,NA,NA,NA
LB,NA,NA,NA,-66.45955556,43.56666667,-66.45955556,43.23333333,NA,Plan,1,GB,37.10649767,NA,NA,NA,NA,NA,NA
SL,NA,NA,NA,-66.44266667,43.56666667,-66.44266667,43.23333333,NA,Plan,1,GB,37.10649767,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,-66.42577778,43.56666667,-66.42577778,43.23333333,NA,Plan,1,GB,37.10649767,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,-66.40888889,43.56666667,-66.40888889,43.23333333,NA,Plan,1,GB,37.10649767,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,-66.392,43.56666667,-66.392,43.23333333,NA,Plan,1,GB,37.10649767,NA,NA,NA,NA,NA,NA
LB,NA,NA,NA,-66.37511111,43.56666667,-66.37511111,43.23333333,NA,Plan,1,GB,37.10649767,NA,NA,NA,NA,NA,NA
SL,NA,NA,NA,-66.35822222,43.56666667,-66.35822222,43.23333333,NA,Plan,1,GB,37.10649767,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,-66.34133333,43.56666667,-66.34133333,43.23333333,NA,Plan,1,GB,37.10649767,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,-66.23,43.502,-66.23,43.2475,NA,Plan,1,GB,28.33081041,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,-66.21833333,43.502,-66.21833333,43.2475,NA,Plan,1,GB,28.33081041,NA,NA,NA,NA,NA,NA
LB,NA,NA,NA,-66.20666667,43.502,-66.20666667,43.2475,NA,Plan,1,GB,28.33081041,NA,NA,NA,NA,NA,NA
SL,NA,NA,NA,-66.195,43.502,-66.195,43.2475,NA,Plan,1,GB,28.33081041,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,-66.18333333,43.502,-66.18333333,43.2475,NA,Plan,1,GB,28.33081041,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,-66.17166667,43.502,-66.17166667,43.2475,NA,Plan,1,GB,28.33081041,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,-66.16,43.502,-66.16,43.2475,NA,Plan,1,GB,28.33081041,NA,NA,NA,NA,NA,NA
LB,NA,NA,NA,-66.14833333,43.502,-66.14833333,43.2475,NA,Plan,1,GB,28.33081041,NA,NA,NA,NA,NA,NA
SL,NA,NA,NA,-66.13666667,43.502,-66.13666667,43.2475,NA,Plan,1,GB,28.33081041,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,-66.125,43.502,-66.125,43.2475,NA,Plan,1,GB,28.33081041,NA,NA,NA,NA,NA,NA
