id,Region_ID,Region_name,Region_class,Process_ID,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,Uncorrected_area,Area_Backscatter_Strength,Frequency,Region_notes
1,1,BP_T01,Transect,2942,45.69479,2130,10949,11255.9803,48809.39348,20230820, 21:16:33.5660,20230820, 23:43:33.5660,43.56944034,-66.47841305,43.23595306,-66.47562057,13.1.120.0,20230906, 09:32:00.9900,BP_Aug20_2023,2918043.794,-58.29603527,38,
2,2,BP_T02,Transect,2942,34.248113,13297,21342,59607.84005,96466.20431,20230821, 00:22:41.5660,20230821, 02:36:46.5670,43.23519836,-66.34570679,43.56573627,-66.34312729,13.1.120.0,20230906, 09:32:00.9900,BP_Aug20_2023,2188868.928,-58.45495259,38,
3,3,BP_T03,Transect,2942,35.597044,24210,30584,109099.328,135629.1789,20230821, 03:24:34.5660,20230821, 05:10:48.5660,43.50099514,-66.21817092,43.26298076,-66.21685167,13.1.120.0,20230906, 09:32:00.9900,BP_Aug20_2023,1654087.85,-56.34845796,38,
4,1,C1_T01,Transect,2943,38.68707,17,8306,100.095476,40675.6025,20230820, 20:32:17.6560,20230820, 22:50:26.6560,43.56308785,-66.4335082,43.23476005,-66.43378916,13.1.120.0,20230906, 09:32:10.3700,C1_Aug20_2023,2734984.962,-59.35429941,38,
5,2,C1_T02,Transect,2943,35.902762,10627,19170,52336.5506,93185.54311,20230820, 23:29:07.6560,20230821, 01:51:30.6560,43.23505967,-66.29913629,43.56785894,-66.30015466,13.1.120.0,20230906, 09:32:10.3700,C1_Aug20_2023,2585622.132,-52.12579624,38,
6,3,C1_T03,Transect,2943,30.760141,21782,28391,106423.3631,137238.485,20230821, 02:35:02.6670,20230821, 04:25:11.6560,43.50116323,-66.17762199,43.24961186,-66.17677698,13.1.120.0,20230906, 09:32:10.3700,C1_Aug20_2023,1635358.74,-61.59738476,38,
7,1,FM_T01,Transect,2944,33.780605,947,9395,1676.18152,40268.54843,20230821, 21:24:24.1300,20230821, 23:45:15.1300,43.56521732,-66.38814838,43.23312643,-66.38839135,13.1.120.0,20230906, 09:32:20.4660,FM_Aug20_2023,2342075.555,-54.48924477,38,
8,2,FM_T02,Transect,2944,40.949269,11738,19924,51443.52799,89917.53688,20230822, 00:24:18.1310,20230822, 02:40:44.1310,43.23468088,-66.2557132,43.56746684,-66.25552121,13.1.120.0,20230906, 09:32:20.4660,FM_Aug20_2023,2868716.516,-58.66860086,38,
9,3,FM_T03,Transect,2944,25.808352,22738,29243,102889.4097,132054.0633,20230822, 03:27:38.1300,20230822, 05:16:03.1300,43.49993253,-66.13773014,43.24876191,-66.1383903,13.1.120.0,20230906, 09:32:20.4660,FM_Aug20_2023,1250664.564,-58.24974855,38,
10,1,LB_T01,Transect,2945,41.826376,335,8840,562.064675,38946.67192,20230820, 20:21:13.2720,20230820, 22:42:58.2840,43.566586,-66.44841387,43.23334879,-66.4486,13.1.120.0,20230906, 09:32:30.2030,LB_Aug20_2023,2793872.033,-59.96553064,38,
11,2,LB_T02,Transect,2945,35.397654,11632,19931,50142.39863,88339.6509,20230820, 23:29:30.2730,20230821, 01:47:49.2730,43.23387795,-66.3142211,43.56690471,-66.31460641,13.1.120.0,20230906, 09:32:30.2030,LB_Aug20_2023,2367087.23,-62.98617807,38,
12,3,LB_T03,Transect,2945,32.122732,23045,29950,101281.5596,131751.7515,20230821, 02:39:43.2730,20230821, 04:34:48.2730,43.50138717,-66.19067428,43.23633957,-66.19062853,13.1.120.0,20230906, 09:32:30.2030,LB_Aug20_2023,1681938.887,-60.33128984,38,
13,1,LJ_T01,Transect,2946,36.401502,143,8703,37060.01289,74313.06285,20230820, 20:24:28.5110,20230820, 22:47:08.5100,43.56686692,-66.40451119,43.23276353,-66.40403541,13.1.120.0,20230906, 09:32:38.8020,LJ_Aug20_2023,2371517.74,-58.74783542,38,
14,2,LJ_T02,Transect,2946,40.83512,11097,19383,85420.13426,122808.2882,20230820, 23:27:02.5100,20230821, 01:45:08.5110,43.2339889,-66.2696,43.56939763,-66.26983333,13.1.120.0,20230906, 09:32:38.8020,LJ_Aug20_2023,2730586.628,-63.99206122,38,
15,3,LJ_T03,Transect,2946,28.019796,22111,28688,135218.642,163741.0462,20230821, 02:30:36.5100,20230821, 04:20:13.5110,43.5033595,-66.1509,43.24758743,-66.15138333,13.1.120.0,20230906, 09:32:38.8020,LJ_Aug20_2023,1346836.065,-63.88235061,38,
16,1,LM_T01,Transect,2947,32.37963,156,8800,268.981185,38065.52065,20230820, 20:16:08.8560,20230820, 22:40:12.8560,43.56617248,-66.37403843,43.23401345,-66.37495784,13.1.120.0,20230906, 09:32:46.7960,LM_Aug20_2023,2111434.798,-52.48511629,38,
