Vessel,Transect No.,Date Time Start,Date Time End,Start Lon,Start Lat,End Lon,End Lat,Dist (km)
BP,T01,2023-08-20,2023-08-20,-66.47841305,43.56944034,-66.47562057,43.23595306,37.55341318
BP,T02,2023-08-21,2023-08-21,-66.34570679,43.23519836,-66.34312729,43.56573627,36.85836426
C1,T01,2023-08-20,2023-08-20,-66.4335082,43.56308785,-66.43378916,43.23476005,40.575507024
C1,T02,2023-08-20,2023-08-21,-66.29913629,43.23505967,-66.30015466,43.56785894,40.84899251
FM,T01,2023-08-21,2023-08-21,-66.38814838,43.56521732,-66.38839135,43.23312643,38.59236691
FM,T02,2023-08-22,2023-08-22,-66.2557132,43.23468088,-66.25552121,43.56746684,38.47400889
LB,T01,2023-08-20,2023-08-20,-66.44841387,43.566586,-66.4486,43.23334879,38.384607245
LB,T02,2023-08-20,2023-08-21,-66.3142211,43.23387795,-66.31460641,43.56690471,38.19725227
LJ,T01,2023-08-20,2023-08-20,-66.40451119,43.56686692,-66.40403541,43.23276353,37.25304996
LJ,T02,2023-08-20,2023-08-21,-66.2696,43.2339889,-66.26983333,43.56939763,37.38815394
LM,T01,2023-08-20,2023-08-20,-66.37403843,43.56617248,-66.37495784,43.23401345,37.796539465
LM,T02,2023-08-20,2023-08-21,-66.24081416,43.23310863,-66.24072042,43.5665548,37.82038849
MS,T01,2023-08-20,2023-08-20,-66.41896496,43.56415018,-66.41876597,43.23570473,38.979435183
MS,T02,2023-08-20,2023-08-21,-66.28350456,43.23389921,-66.28468215,43.56636154,39.31029734
SL,T01,2023-08-20,2023-08-20,-66.49334325,43.5655625,-66.49376791,43.23510672,40.623303226
SL,T02,2023-08-21,2023-08-21,-66.36045636,43.23501812,-66.35917605,43.56640112,40.3847789
TM,T01,2023-08-20,2023-08-20,-66.464,43.56318369,-66.4635,43.23417493,37.051815816
TM,T02,2023-08-20,2023-08-21,-66.33,43.2337534,-66.32983333,43.56725729,37.5809995
BP,T03,2023-08-21,2023-08-21,-66.21817092,43.50099514,-66.21685167,43.26298076,26.5298509
C1,T03,2023-08-21,2023-08-21,-66.17762199,43.50116323,-66.17677698,43.24961186,30.8151219
FM,T03,2023-08-22,2023-08-22,-66.13773014,43.49993253,-66.1383903,43.24876191,29.1646536
LB,T03,2023-08-21,2023-08-21,-66.19067428,43.50138717,-66.19062853,43.23633957,30.4701919
LJ,T03,2023-08-21,2023-08-21,-66.1509,43.5033595,-66.15138333,43.24758743,28.5224042
LM,T03,2023-08-21,2023-08-21,-66.12554176,43.50228607,-66.12464,43.24617041,29.17285399
MS,T03,2023-08-21,2023-08-21,-66.16376146,43.4999085,-66.16436661,43.24719132,29.8133549
SL,T03,2023-08-21,2023-08-21,-66.22987116,43.5016676,-66.23003333,43.24977047,30.4615637
TM,T03,2023-08-21,2023-08-21,-66.20483333,43.50687272,-66.20366667,43.24802854,29.1132753
