id,Region_ID,Region_name,Region_class,Process_ID,Interval,Layer,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,PRC_ABC,Frequency,Region_notes
1,1,C1_T01,Transect,3086,1,1,43.132908,168,293,445.658361,997.621495,20231011, 19:54:09.9470,20231011, 19:56:14.9470,43.5662805,-66.40904892,43.5616887,-66.40863212,13.1.120.0,20231020, 16:18:59.5780,C1_Oct11_2023,2.91812E-07,38,
2,1,C1_T01,Transect,3086,2,1,39.683315,294,515,1001.06138,1999.619425,20231011, 19:56:15.9470,20231011, 19:59:56.9580,43.56165853,-66.408625,43.55321983,-66.40850167,13.1.120.0,20231020, 16:18:59.5780,C1_Oct11_2023,6.62093E-07,38,
3,1,C1_T01,Transect,3086,3,1,41.140376,516,741,2003.13125,2997.798434,20231011, 19:59:57.9480,20231011, 20:03:42.9470,43.55318831,-66.40849852,43.54471366,-66.40856833,13.1.120.0,20231020, 16:18:59.5780,C1_Oct11_2023,7.73759E-07,38,
4,1,C1_T01,Transect,3086,4,1,42.646952,742,967,3002.877407,3998.678577,20231011, 20:03:43.9470,20231011, 20:07:28.9470,43.54467496,-66.40854167,43.53621494,-66.40884,13.1.120.0,20231020, 16:18:59.5780,C1_Oct11_2023,8.9802E-07,38,
5,1,C1_T01,Transect,3086,5,1,42.985307,968,1195,4004.181924,4998.492266,20231011, 20:07:29.9470,20231011, 20:11:16.9470,43.53617665,-66.40886485,43.52771818,-66.40919183,13.1.120.0,20231020, 16:18:59.5780,C1_Oct11_2023,7.73383E-07,38,
6,1,C1_T01,Transect,3086,6,1,47.101892,1196,1425,5003.151307,5996.626938,20231011, 20:11:17.9470,20231011, 20:15:06.9480,43.52767651,-66.40918667,43.51940967,-66.40942681,13.1.120.0,20231020, 16:18:59.5780,C1_Oct11_2023,1.01407E-06,38,
7,1,C1_T01,Transect,3086,7,1,45.814014,1426,1655,6000.551081,6995.42149,20231011, 20:15:07.9470,20231011, 20:18:56.9480,43.51937454,-66.4094218,43.51101132,-66.40947847,13.1.120.0,20231020, 16:18:59.5780,C1_Oct11_2023,1.17726E-06,38,
8,1,C1_T01,Transect,3086,8,1,44.553663,1656,1883,7000.842825,7999.033103,20231011, 20:18:57.9470,20231011, 20:22:44.9470,43.51096273,-66.40947333,43.50256776,-66.40954011,13.1.120.0,20231020, 16:18:59.5780,C1_Oct11_2023,1.17187E-06,38,
9,1,C1_T01,Transect,3086,9,1,45.346531,1884,2095,8004.127445,8999.43194,20231011, 20:22:45.9470,20231011, 20:26:16.9470,43.50252788,-66.40956347,43.49397882,-66.40969718,13.1.120.0,20231020, 16:18:59.5780,C1_Oct11_2023,1.98508E-06,38,
10,1,C1_T01,Transect,3086,10,1,43.570555,2096,2303,9004.416322,9997.448176,20231011, 20:26:17.9470,20231011, 20:29:44.9480,43.49393414,-66.4097,43.48543969,-66.40996828,13.1.120.0,20231020, 16:18:59.5780,C1_Oct11_2023,1.8335E-06,38,
11,1,C1_T01,Transect,3086,11,1,42.822467,2304,2518,10001.7503,10999.5143,20231011, 20:29:45.9470,20231011, 20:33:19.9590,43.48540101,-66.40996667,43.47687845,-66.41012667,13.1.120.0,20231020, 16:18:59.5780,C1_Oct11_2023,1.81438E-06,38,
12,1,C1_T01,Transect,3086,12,1,41.209213,2519,2740,11002.9639,11998.91491,20231011, 20:33:20.9470,20231011, 20:37:01.9470,43.47684745,-66.410125,43.46844688,-66.41009169,13.1.120.0,20231020, 16:18:59.5780,C1_Oct11_2023,1.61734E-06,38,
13,1,C1_T01,Transect,3086,13,1,40.696976,2741,2963,12003.1503,12999.10857,20231011, 20:37:02.9470,20231011, 20:40:44.9470,43.46840881,-66.41009006,43.45984194,-66.40991664,13.1.120.0,20231020, 16:18:59.5780,C1_Oct11_2023,1.57369E-06,38,
14,1,C1_T01,Transect,3086,14,1,38.283624,2964,3185,13003.75546,13998.4171,20231011, 20:40:45.9470,20231011, 20:44:26.9470,43.45980675,-66.40989167,43.45138218,-66.40982505,13.1.120.0,20231020, 16:18:59.5780,C1_Oct11_2023,1.55642E-06,38,
15,1,C1_T01,Transect,3086,15,1,40.00465,3186,3407,14003.53829,14996.22765,20231011, 20:44:27.9470,20231011, 20:48:08.9470,43.45134312,-66.40985167,43.4428819,-66.40979171,13.1.120.0,20231020, 16:18:59.5780,C1_Oct11_2023,7.94774E-07,38,
16,1,C1_T01,Transect,3086,16,1,38.681639,3408,3634,15001.15353,15999.22198,20231011, 20:48:09.9470,20231011, 20:51:55.9480,43.4428417,-66.40980834,43.43434,-66.409715,13.1.120.0,20231020, 16:18:59.5780,C1_Oct11_2023,4.6842E-05,38,
17,1,C1_T01,Transect,3086,17,1,32.131707,3635,3861,16003.87005,16999.88863,20231011, 20:51:56.9470,20231011, 20:55:42.9470,43.43429819,-66.40971332,43.42592158,-66.40971833,13.1.120.0,20231020, 16:18:59.5780,C1_Oct11_2023,9.89139E-07,38,
18,1,C1_T01,Transect,3086,18,1,31.044571,3862,4084,17003.82788,17999.17021,20231011, 20:55:43.9470,20231011, 20:59:25.9480,43.42588626,-66.40971785,43.41738576,-66.40966512,13.1.120.0,20231020, 16:18:59.5780,C1_Oct11_2023,7.52784E-06,38,
19,1,C1_T01,Transect,3086,19,1,34.834049,4085,4306,18003.56323,18998.929,20231011, 20:59:26.9470,20231011, 21:03:07.9470,43.41734638,-66.40966665,43.40897522,-66.40986714,13.1.120.0,20231020, 16:18:59.5780,C1_Oct11_2023,3.98878E-07,38,
20,1,C1_T01,Transect,3086,20,1,35.597376,4307,4526,19004.16332,19997.33938,20231011, 21:03:08.9470,20231011, 21:06:47.9470,43.40893258,-66.4098449,43.4005772,-66.41024862,13.1.120.0,20231020, 16:18:59.5780,C1_Oct11_2023,6.42245E-07,38,
21,1,C1_T01,Transect,3086,21,1,33.104296,4527,4746,20002.39665,20995.44185,20231011, 21:06:48.9470,20231011, 21:10:27.9470,43.40053933,-66.41022509,43.3921504,-66.41044515,13.1.120.0,20231020, 16:18:59.5780,C1_Oct11_2023,1.03993E-06,38,
