id,Region_ID,Region_name,Region_class,Process_ID,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,Uncorrected_area,Area_Backscatter_Strength,Frequency,Region_notes
1,1,BP_T01,Transect,3110,36.091362,635,9161,1059.251442,38210.69217,20231024, 19:49:29.3600,20231024, 22:11:35.3600,43.56474221,-66.39169055,43.23077159,-66.39187736,13.1.120.0,20231031, 10:26:39.2300,BP_Oct24_2023,2302263.536,-53.11972989,38,
2,2,BP_T02,Transect,3110,41.242809,11018,19512,49198.11139,86538.85391,20231024, 22:42:32.3710,20231025, 01:04:06.3600,43.23151692,-66.25804029,43.56631519,-66.25693763,13.1.120.0,20231031, 10:26:39.2300,BP_Oct24_2023,2712781.177,-55.61897829,38,
3,1,C1_T01,Transect,3111,47.359819,462,9230,1004.546727,40283.66012,20231024, 19:03:48.0020,20231024, 21:29:56.0010,43.56485643,-66.49093936,43.2358969,-66.49162588,13.1.120.0,20231031, 10:26:46.9790,C1_Oct24_2023,3319898.957,-57.40458855,38,
4,2,C1_T02,Transect,3111,31.486757,11072,19749,51414.30585,91838.63138,20231024, 22:00:38.0010,20231025, 00:25:15.0010,43.23411385,-66.35914972,43.56622836,-66.35934296,13.1.120.0,20231031, 10:26:46.9790,C1_Oct24_2023,2273042.157,-52.5543064,38,
5,3,C1_T03,Transect,3111,36.016543,21872,28429,105211.3966,135567.6119,20231025, 01:00:38.0010,20231025, 02:49:55.0020,43.50082208,-66.2299637,43.24807294,-66.23080756,13.1.120.0,20231031, 10:26:46.9790,C1_Oct24_2023,1949943.569,-57.66876517,38,
6,1,FM_T01,Transect,3112,39.39822,1400,9341,6693.416187,43392.94929,20231024, 20:10:42.2290,20231024, 22:23:03.2300,43.55626219,-66.4257241,43.23516917,-66.42544833,13.1.120.0,20231031, 10:26:56.8860,FM_Oct24_2023,2504400.866,-54.42753051,38,
7,2,FM_T02,Transect,3112,37.304268,11279,19574,54577.14083,92781.72891,20231024, 22:55:21.2290,20231025, 01:13:36.2300,43.23446327,-66.29078993,43.56539576,-66.29078667,13.1.120.0,20231031, 10:26:56.8860,FM_Oct24_2023,2491683.746,-50.9034697,38,
8,3,FM_T03,Transect,3112,28.405344,21728,27781,105463.2559,132935.8343,20231025, 01:49:30.2290,20231025, 03:30:26.2290,43.50046331,-66.16897792,43.26186981,-66.17009319,13.1.120.0,20231031, 10:26:56.8860,FM_Oct24_2023,1319410.013,-61.53133381,38,
9,1,LB_T01,Transect,3113,46.858684,806,9842,3334.587747,41524.79693,20231024, 18:55:13.7960,20231024, 21:25:49.8070,43.56621993,-66.47689113,43.23452446,-66.47655784,13.1.120.0,20231031, 10:27:05.8840,LB_Oct24_2023,3048749.422,-57.19816774,38,
10,2,LB_T02,Transect,3113,34.276133,12029,21354,52605.5406,91568.57353,20231024, 22:02:16.7950,20231025, 00:37:47.8070,43.22890891,-66.34312446,43.56523275,-66.34145077,13.1.120.0,20231031, 10:27:05.8840,LB_Oct24_2023,2321465.31,-50.57888272,38,
