Vessel,Start Lat,Start Lon,End Lat,End Lon
C1,43.56666667,-66.49333333,43.23333333,-66.49333333
LB,43.56666667,-66.47644444,43.23333333,-66.47644444
LM,43.56666667,-66.45955556,43.23333333,-66.45955556
MS,43.56666667,-66.44266667,43.23333333,-66.44266667
FM,43.56666667,-66.42577778,43.23333333,-66.42577778
SL,43.56666667,-66.40888889,43.23333333,-66.40888889
BP,43.56666667,-66.392,43.23333333,-66.392
LJ,43.56666667,-66.37511111,43.23333333,-66.37511111
C1,43.56666667,-66.35822222,43.23333333,-66.35822222
LB,43.56666667,-66.34133333,43.23333333,-66.34133333
LM,43.56666667,-66.32444444,43.23333333,-66.32444444
MS,43.56666667,-66.30755556,43.23333333,-66.30755556
FM,43.56666667,-66.29066667,43.23333333,-66.29066667
SL,43.56666667,-66.27377778,43.23333333,-66.27377778
BP,43.56666667,-66.25688889,43.23333333,-66.25688889
LJ,43.56666667,-66.24,43.23333333,-66.24
C1,43.502,-66.23,43.2475,-66.23
LB,43.502,-66.215,43.2475,-66.215
LM,43.502,-66.2,43.2475,-66.2
MS,43.502,-66.185,43.2475,-66.185
FM,43.502,-66.17,43.2475,-66.17
SL,43.502,-66.155,43.2475,-66.155
BP,43.502,-66.14,43.2475,-66.14
LJ,43.502,-66.125,43.2475,-66.125
