Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-53.11972989,0.0172992394870716,37.151440728
BP,T02,-35.5,-55.61897829,0.00972976096701609,37.34074252
C1,T01,-35.5,-57.40458855,0.00644972421572955,39.279113393
C1,T02,-35.5,-52.5543064,0.0197046788019723,40.42432553
FM,T01,-35.5,-54.42753051,0.0128010899421462,36.699533103
FM,T02,-35.5,-50.9034697,0.028817282899241,38.20458808
LB,T01,-35.5,-57.19816774,0.0067636827055303,38.190209183
LB,T02,-35.5,-50.57888272,0.0310535837989272,38.96303293
LJ,T01,-35.5,-53.09283805,0.0174066900027632,36.959621
LJ,T02,-35.5,-54.9916789,0.0112417030706122,36.69460187
LM,T01,-35.5,-56.49533893,0.00795181205964565,37.70568917
LM,T02,-35.5,-53.57992965,0.0155599083640811,37.83908411
MS,T01,-35.5,-54.39165009,0.0129072877157216,37.857947782
MS,T02,-35.5,-54.39656232,0.0128926967584906,40.077521
SL,T01,-35.5,-55.33621955,0.0103843195756503,40.37817245
SL,T02,-35.5,-59.32694693,0.00414290816988588,40.65363863
C1,T03,-35.5,-57.66876517,0.00606908867526598,30.3562153
FM,T03,-35.5,-61.53133381,0.0024938287018979,27.4725784
LB,T03,-35.5,-60.06203821,0.00349780970976485,29.0692752
LJ,T03,-35.5,-58.16513042,0.00541360990397627,28.0581686
LM,T03,-35.5,-57.98078607,0.0056483473086502,30.80617792
MS,T03,-35.5,-63.15312799,0.0017166715154527,30.8336706
MS,T04,-35.5,-62.05961564,0.00220820015485596,25.8710938
SL,T03,-35.5,-61.76215199,0.00236474764153953,31.3994767
