Vessel,Transect.No.,Speed,Transect
LB,T01,8.495796157282223,T01
LB,T02,8.83654615969488,T02
LB,T03,8.05177925781698,T03
LB,T04,7.887751776617344,T04
LJ,T01,8.278832429475345,T01
LJ,T02,8.414121076536524,T02
LJ,T03,8.207815831208604,T03
LJ,T04,8.390851159442427,T04
LM,T01,8.306513033818227,T01
LM,T02,8.985090643378822,T02
LM,T03,8.336501819165917,T03
LM,T04,8.300023002551189,T04
MS,T01,9.093953926422271,T01
MS,T02,9.1361901139061,T02
MS,T03,8.720161404787307,T03
MS,T04,8.529724118576128,T04
SL,T01,8.738923964055237,T01
SL,T02,8.98806531142821,T02
SL,T03,9.010329766884208,T03
SL,T04,8.911303455212273,T04
