Vessel,Transect No.,Date Time Start,Date Time End,Start Lon,Start Lat,End Lon,End Lat,Dist (km)
LB,T01,2023-08-06 20:16:55,2023-08-06 22:42:05,-66.46003833,43.56584667,-66.45925829,43.2333294,38.068145799
LB,T02,2023-08-06 23:08:39,2023-08-07 01:29:32,-66.37594642,43.23087968,-66.37510936,43.56714345,38.42668362
LJ,T01,2023-08-06 20:23:32,2023-08-06 22:48:32,-66.42559423,43.56592308,-66.42568721,43.23330271,37.053379978
LJ,T02,2023-08-06 23:13:29,2023-08-07 01:36:54,-66.34097356,43.23393557,-66.34135147,43.56829263,37.24767052
LM,T01,2023-08-06 20:17:39,2023-08-06 22:44:04,-66.47465555,43.56367635,-66.47634975,43.23287131,37.540495618
LM,T02,2023-08-06 23:09:10,2023-08-07 01:25:10,-66.39176383,43.23150015,-66.392245,43.56474894,37.71829968
MS,T01,2023-08-06 20:30:12,2023-08-06 22:49:57,-66.49369681,43.56472404,-66.49311278,43.23220716,39.227921883
MS,T02,2023-08-06 23:17:00,2023-08-07 01:38:13,-66.40902328,43.23489031,-66.40886465,43.56679773,39.82371946
SL,T01,2023-08-06 21:27:05,2023-08-06 23:51:43,-66.4420059,43.56323722,-66.4438089,43.23685087,39.013695654
SL,T02,2023-08-07 00:17:20,2023-08-07 02:40:11,-66.35832833,43.2331588,-66.35802708,43.56603659,39.63119793
LB,T03,2023-08-07 02:37:30,2023-08-07 04:36:50,-66.20724828,43.50448144,-66.20669754,43.2467899,29.65817119
LJ,T03,2023-08-07 02:35:16,2023-08-07 04:28:23,-66.18378333,43.50345382,-66.18321494,43.24642241,28.65793792
LM,T03,2023-08-07 02:19:12,2023-08-07 04:11:52,-66.23329472,43.50172147,-66.2328376,43.24576219,28.99145624
MS,T03,2023-08-07 02:55:13,2023-08-07 04:48:41,-66.21830614,43.50152362,-66.21790333,43.24732942,30.5410213
SL,T03,2023-08-07 03:39:10,2023-08-07 05:27:33,-66.19544706,43.50175745,-66.19630825,43.25135983,30.1435172
LB,T04,2023-08-07 04:55:12,2023-08-07 06:55:17,-66.14853629,43.24750011,-66.14839053,43.50203336,29.2365892
LJ,T04,2023-08-07 04:45:56,2023-08-07 06:35:13,-66.11728127,43.24667182,-66.11741667,43.50067092,28.3041871
LM,T04,2023-08-07 04:33:27,2023-08-07 06:26:36,-66.15076093,43.24679883,-66.15283167,43.50346022,28.988423
MS,T04,2023-08-07 05:03:07,2023-08-07 06:58:29,-66.1704988,43.2487218,-66.17166286,43.50149307,30.3742851
SL,T04,2023-08-07 05:44:49,2023-08-07 07:33:29,-66.13669563,43.25022157,-66.13647812,43.50162406,29.8901651
