id,Region_ID,Region_name,Region_class,Process_ID,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,Uncorrected_area,Area_Backscatter_Strength,Frequency,Region_notes
1,1,BP_T02,Transect,2748,33.421612,24759,34820,94619.01571,135110.0827,20230523, 01:01:46.5100,20230523, 03:49:27.5110,45.25774731,-64.74629127,45.10007746,-65.21002099,13.0.378.44817,20230526, 15:57:32.1170,BP_May22_2023,2303935.879,-49.07941728,38,
2,2,BP_T01,Transect,2748,26.040441,13626,23183,48625.69685,87902.08346,20230522, 21:56:13.5100,20230523, 00:35:30.5100,45.14624939,-65.24870436,45.29820092,-64.79759675,13.0.378.44817,20230526, 15:57:32.1170,BP_May22_2023,1647916.92,-50.23951287,38,
3,1,FM_T01,Transect,2749,27.246143,14,8719,472.644778,37983.0917,20230523, 21:58:02.5310,20230524, 00:23:07.5420,45.16432957,-65.24456612,45.3090446,-64.82380127,13.0.378.44817,20230526, 15:57:40.2160,FM_May22_2023,1681577.311,-44.08371561,38,
4,2,FM_T02,Transect,2749,28.889768,9129,13647,39634.25418,57749.03441,20230524, 00:29:57.5320,20230524, 01:45:15.5310,45.318535,-64.83875318,45.25627898,-65.04994947,13.0.378.44817,20230526, 15:57:40.2160,FM_May22_2023,840795.8556,-48.75304109,38,
5,3,FM_T03,Transect,2749,25.415889,14009,17189,59726.53805,76117.90236,20230524, 01:51:17.5310,20230524, 02:44:17.5320,45.27241406,-65.04862108,45.32952505,-64.85711195,13.0.378.44817,20230526, 15:57:40.2160,FM_May22_2023,694280.7041,-57.60056859,38,
6,4,FM_T04,Transect,2749,26.199096,17551,20906,77785.24582,92662.94061,20230524, 02:50:19.5320,20230524, 03:46:14.5320,45.33867201,-64.87245382,45.2887239,-65.0476022,13.0.378.44817,20230526, 15:57:40.2160,FM_May22_2023,635621.7317,-57.81783957,38,
7,1,MS_T01,Transect,2750,21.704754,83,10269,436.994093,48981.62339,20230522, 21:15:00.6840,20230523, 00:04:46.6840,45.03742519,-65.22954505,45.21626308,-64.68090841,13.0.378.44817,20230526, 15:57:48.5740,MS_May22_2023,1786037.268,-62.64473127,38,
8,2,MS_T02,Transect,2750,22.624684,11128,13698,51877.65582,63237.95951,20230523, 00:19:05.6850,20230523, 01:01:55.6840,45.22682407,-64.68310755,45.26340378,-64.55114326,13.0.378.44817,20230526, 15:57:48.5740,MS_May22_2023,443376.7278,-44.5732953,38,
9,3,MS_T03,Transect,2750,23.280996,14523,18196,66308.03045,79969.42167,20230523, 01:15:40.6850,20230523, 02:16:53.6840,45.28573739,-64.55139127,45.24117837,-64.70662658,13.0.378.44817,20230526, 15:57:48.5740,MS_May22_2023,553262.702,-43.94506871,38,
10,4,MS_T04,Transect,2750,30.977762,19035,22440,83716.05383,99288.06052,20230523, 02:30:52.6850,20230523, 03:27:37.6850,45.25564191,-64.73006361,45.30689052,-64.54966735,13.0.378.44817,20230526, 15:57:48.5740,MS_May22_2023,833942.7327,-45.98854354,38,
11,5,MS_T05,Transect,2750,42.393713,22962,26801,102044.409,119621.5452,20230523, 03:36:19.6840,20230523, 04:40:18.6840,45.3297105,-64.5511022,45.26982629,-64.75303945,13.0.378.44817,20230526, 15:57:48.5740,MS_May22_2023,1319316.927,-52.12839757,38,
12,1,SL_T01,Transect,2751,28.879074,352,10507,556.992447,45777.27416,20230522, 22:17:36.5730,20230523, 01:06:51.5730,45.07616077,-65.22685355,45.24393709,-64.72206624,13.0.378.44817,20230526, 15:57:58.6000,SL_May22_2023,2183259.232,-51.63972305,38,
13,2,SL_T02,Transect,2751,35.327239,12504,22067,53255.25024,94535.88676,20230523, 01:40:08.5720,20230523, 04:19:31.5720,45.28393679,-64.78421803,45.12627817,-65.24189989,13.0.378.44817,20230526, 15:57:58.6000,SL_May22_2023,2521590.944,-51.12968593,38,
