Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
C1,T01,-35.5,-52.16887317,0.0215334037267043,42.756716726
C1,T02,-35.5,-61.75433793,0.00236900625274892,36.99282427
FM,T01,-35.5,-62.20567211,0.00213517162335211,47.971931814
FM,T02,-35.5,-57.70102582,0.00602417276027783,38.98082319
LM,T01,-35.5,-61.41181192,0.00256341433129891,46.413456282
LM,T02,-35.5,-60.34558186,0.00327673872703174,39.42937851
MS,T01,-35.5,-68.02487651,0.000559129425979137,45.26235742
MS,T02,-35.5,-60.60567271,0.00308626155537847,37.485109
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
