id,Region_ID,Region_name,Region_class,Process_ID,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,Uncorrected_area,Area_Backscatter_Strength,Frequency,Region_notes
1,1,BP_T01,Transect,2829,23.98767,6613,8600,22390.05839,30663.18978,20230606, 21:49:38.9280,20230606, 22:22:45.9280,45.24321433,-65.05284659,45.27056334,-64.95547664,13.0.378.44817,20230614, 12:19:26.6870,BP_Jun06_2023,288507.5357,-51.17812198,38,
2,2,BP_T02,Transect,2829,28.426751,11751,16274,43924.14758,61633.35138,20230606, 23:15:16.9390,20230607, 00:30:39.9290,45.31754931,-64.84211863,45.25568119,-65.04955717,13.0.378.44817,20230614, 12:19:26.6870,BP_Jun06_2023,769330.7657,-44.83523469,38,
3,3,BP_T03,Transect,2829,24.756647,16680,20519,63767.95793,80010.94948,20230607, 00:37:25.9330,20230607, 01:41:24.9390,45.272809,-65.04763966,45.3290694,-64.85676206,13.0.378.44817,20230614, 12:19:26.6870,BP_Jun06_2023,651244.9076,-53.64122542,38,
4,4,BP_T04,Transect,2829,25.82463,21016,24395,82304.44786,96259.87133,20230607, 01:49:41.9280,20230607, 02:46:00.9290,45.33661984,-64.87640569,45.29070876,-65.04158248,13.0.378.44817,20230614, 12:19:26.6870,BP_Jun06_2023,579274.5111,-45.67024826,38,
5,1,C1_T01,Transect,2822,30.070898,649,10634,3435.113132,48118.44222,20230606, 19:54:06.0260,20230606, 22:40:31.0260,45.08504472,-65.2291892,45.25198041,-64.72942821,13.0.378.44817,20230614, 12:05:03.2720,C1_Jun06_2023,2240538.983,-49.35058645,38,
6,2,C1_T02,Transect,2822,28.357885,13359,22513,57994.55454,95870.66023,20230606, 23:25:56.0260,20230607, 01:58:30.0260,45.3026145,-64.81348995,45.15581431,-65.23141429,13.0.378.44817,20230614, 12:05:03.2720,C1_Jun06_2023,1759564.776,-47.94904991,38,
7,1,FM_T01,Transect,2823,31.023112,1239,10927,2225.234491,44573.84236,20230607, 21:55:37.1930,20230608, 00:37:36.1930,45.09682453,-65.23024153,45.25982404,-64.74604641,13.0.378.44817,20230614, 12:05:11.3600,FM_Jun06_2023,2244814.642,-44.78987658,38,
8,2,FM_T02,Transect,2823,31.616105,13691,22251,53589.90458,90155.80109,20230608, 01:23:40.1940,20230608, 03:46:24.1940,45.31112006,-64.82658044,45.16802081,-65.23406424,13.0.378.44817,20230614, 12:05:11.3600,FM_Jun06_2023,1960746.992,-36.26188512,38,
9,1,LJ_T01,Transect,2824,22.327193,14,10998,49.769081,48125.36725,20230606, 21:04:56.4810,20230607, 00:08:00.4920,45.03664938,-65.23285154,45.21659248,-64.68050752,13.0.378.44817,20230614, 12:05:18.9420,LJ_Jun06_2023,1719555.386,-46.90049362,38,
10,2,LJ_T02,Transect,2824,35.639834,13336,23475,56699.89809,98568.96714,20230607, 00:46:58.4810,20230607, 03:35:57.4830,45.26931667,-64.75491114,45.10770664,-65.23242677,13.0.378.44817,20230614, 12:05:18.9420,LJ_Jun06_2023,2603819.761,-53.52764522,38,
11,1,LM_T01,Transect,2825,24.021394,60,10818,230.228697,48174.26265,20230606, 20:45:51.5670,20230606, 23:45:09.5550,45.04486566,-65.23929496,45.22693113,-64.69167721,13.0.378.44817,20230614, 12:05:26.4520,LM_Jun06_2023,1819187.783,-46.00747572,38,
