Vessel,Start Lat,Start Lon,End Lat,End Lon
Brunswick Provider,4514.419994,6503,4518.539994,6449.408
Brunswick Provider,4515.371994,6503,4519.142663,6450.431998
Brunswick Provider,4516.323994,6503,4519.745331,6451.455996
Brunswick Provider,4517.275994,6503,4520.348,6452.479994
Canada 100,4504.788,6514,4514.882,6443.742667
Canada 100,4509.131333,6514,4518.063667,6448.540444
Fundy Monarch,4505.656667,6514,4515.518333,6444.702222
Fundy Monarch,4510,6514,4518.7,6449.5
Lady Melissa,4502.182,6514,4512.973,6440.864
Lady Melissa,4506.525333,6514,4516.154667,6445.661778
Morning Star,4503.919333,6514,4514.245667,6442.783111
Morning Star,4508.262667,6514,4517.427333,6447.580889
Sealife II,4503.050667,6514,4513.609333,6441.823556
Sealife II,4507.394,6514,4516.791,6446.621333
Tasha Marie,4513.475,6441.48,4515.825,6433
Tasha Marie,4514.356667,6442.796667,4517.116667,6433
Tasha Marie,4515.238333,6444.113333,4518.408333,6433
Tasha Marie,4516.12,6445.43,4519.7,6433
