Vessel,Start Lat,Start Lon,End Lat,End Lon
Brunswick Provider,45.245,-65.053,45.315,-64.828
Brunswick Provider,45.26033333,-65.053,45.32433333,-64.84533333
Brunswick Provider,45.27566667,-65.053,45.33366667,-64.86266667
Brunswick Provider,45.291,-65.053,45.343,-64.88
Canada 100,45.08374848,-65.23333333,45.25092576,-64.73340606
Canada 100,45.15482121,-65.23333333,45.30298939,-64.81191515
Fundy Monarch,45.09559394,-65.23333333,45.25960303,-64.74649091
Fundy Monarch,45.16666667,-65.23333333,45.31166667,-64.825
Lady Janice,45.03636667,-65.23333333,45.21621667,-64.68106667
Lady Janice,45.10743939,-65.23333333,45.2682803,-64.75957576
Lady Melissa,45.04821212,-65.23333333,45.22489394,-64.69415152
Lady Melissa,45.11928485,-65.23333333,45.27695758,-64.77266061
Morning Star,45.07190303,-65.23333333,45.24224848,-64.72032121
Morning Star,45.14297576,-65.23333333,45.29431212,-64.7988303
Sealife II,45.06005758,-65.23333333,45.23357121,-64.70723636
Sealife II,45.1311303,-65.23333333,45.28563485,-64.78574545
Tasha Marie,45.22458333,-64.69133333,45.26375,-64.55
Tasha Marie,45.23927778,-64.71327778,45.28527778,-64.55
Tasha Marie,45.25397222,-64.73522222,45.30680556,-64.55
Tasha Marie,45.26866667,-64.75716667,45.32833333,-64.55
