Vessel,Transect.No.,Speed,Transect
BP,T01,8.09342915004409,T01
BP,T02,7.6108464989148805,T02
BP,T03,8.224479472402187,T03
BP,T04,8.028147486808166,T04
C1,T01,8.698772400041854,T01
C1,T02,8.042941805161634,T02
FM,T01,8.469895865837737,T01
FM,T02,8.299655800093225,T02
LJ,T01,8.507945260818369,T01
LJ,T02,8.027100422344608,T02
LM,T01,8.66290490418289,T01
LM,T02,8.047172832409464,T02
MS,T01,8.779482060322216,T01
MS,T02,7.784357315337842,T02
SL,T01,8.631931079838392,T01
SL,T02,8.594516755915826,T02
TM,T01,8.286664397194766,T01
TM,T02,7.438661262060647,T02
TM,T03,7.862280764297374,T03
TM,T04,6.016487753830291,T04
