id,Region_ID,Region_name,Region_class,Process_ID,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,Uncorrected_area,Area_Backscatter_Strength,Frequency,Region_notes
1,1,BP_T01,Transect,2835,25.775653,1964,11946,1879.768557,47661.19525,20230618, 21:19:45.5800,20230619, 00:06:07.5810,45.05399894,-65.23560707,45.22838667,-64.7089232,13.0.378.44817,20230713, 15:03:54.9290,BP_Jun18_2023,1913539.814,-55.28349826,38,
2,2,BP_T02,Transect,2835,36.476224,13626,23077,54339.51211,94739.61019,20230619, 00:34:07.5810,20230619, 03:11:38.5800,45.27047103,-64.76449524,45.11206201,-65.22667824,13.0.378.44817,20230713, 15:03:54.9290,BP_Jun18_2023,2530961.035,-51.46744785,38,
3,1,LB_T01,Transect,2836,32.076809,1030,10421,1547.2187,44653.58658,20230618, 20:20:31.8120,20230618, 22:57:02.8130,45.0924,-65.23218333,45.25779115,-64.74189725,13.0.378.44817,20230713, 15:04:02.9770,LB_Jun18_2023,2353308.934,-52.71996158,38,
4,2,LB_T02,Transect,2836,29.167248,13070,21983,51941.506,89829.82433,20230618, 23:41:11.8240,20230619, 02:09:44.8130,45.29772644,-64.80560262,45.14790996,-65.23402945,13.0.378.44817,20230713, 15:04:02.9770,LB_Jun18_2023,1855764.329,-51.93253956,38,
5,1,LJ_T01,Transect,2837,23.142136,87,10196,424.310052,47279.97486,20230618, 20:25:21.3010,20230618, 23:13:50.3010,45.03443009,-65.23700973,45.21048473,-64.69886248,13.0.378.44817,20230713, 15:04:09.2190,LJ_Jun18_2023,1759457.693,-56.86911914,38,
6,2,LJ_T02,Transect,2837,23.970802,10843,13387,50366.34579,62380.27058,20230618, 23:24:37.3010,20230619, 00:07:01.3000,45.22486071,-64.69089524,45.26411249,-64.54935559,13.0.378.44817,20230713, 15:04:09.2190,LJ_Jun18_2023,474984.6037,-52.54347129,38,
7,3,LJ_T03,Transect,2837,23.971227,13898,17309,65297.17172,79696.04969,20230619, 00:15:32.3010,20230619, 01:12:23.3120,45.28679847,-64.54507585,45.23917855,-64.71369767,13.0.378.44817,20230713, 15:04:09.2190,LJ_Jun18_2023,575485.3485,-55.56638452,38,
8,4,LJ_T04,Transect,2837,31.856858,17908,21025,82287.84291,96649.50764,20230619, 01:22:22.3010,20230619, 02:14:19.3000,45.25402645,-64.73528777,45.30228963,-64.56658111,13.0.378.44817,20230713, 15:04:09.2190,LJ_Jun18_2023,787226.5349,-48.80589953,38,
9,5,LJ_T05,Transect,2837,41.733374,21848,25220,100293.7765,118138.3847,20230619, 02:28:02.3010,20230619, 03:24:14.3000,45.32881338,-64.54927298,45.26806261,-64.75865725,13.0.378.44817,20230713, 15:04:09.2190,LJ_Jun18_2023,1306304.732,-46.64504451,38,
10,1,SL_T01,Transect,2838,26.96943,153,8414,709.852347,37282.93233,20230618, 21:24:22.3610,20230618, 23:42:03.3610,45.16787572,-65.22873591,45.30977973,-64.82994027,13.0.378.44817,20230713, 15:04:17.2320,SL_Jun18_2023,1604374.996,-46.2372719,38,
11,2,SL_T02,Transect,2838,29.89917,8746,13199,38591.32432,57302.62776,20230618, 23:47:35.3610,20230619, 01:01:48.3600,45.31596413,-64.83552536,45.25081333,-65.04836287,13.0.378.44817,20230713, 15:04:17.2320,SL_Jun18_2023,907207.557,-38.71361453,38,
12,3,SL_T03,Transect,2838,27.881614,13501,17031,58980.46402,76195.75093,20230619, 01:06:50.3610,20230619, 02:05:40.3610,45.26351937,-65.04785104,45.3245012,-64.85042071,13.0.378.44817,20230713, 15:04:17.2320,SL_Jun18_2023,801441.3293,-55.20989163,38,
13,4,SL_T04,Transect,2838,25.744201,17395,21199,77922.04291,94104.34001,20230619, 02:11:44.3610,20230619, 03:15:08.3610,45.33297696,-64.8644054,45.27665305,-65.04847889,13.0.378.44817,20230713, 15:04:17.2320,SL_Jun18_2023,690729.2298,-55.15484392,38,
