id,Region_ID,Region_name,Region_class,Process_ID,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,Uncorrected_area,Area_Backscatter_Strength,Frequency,Region_notes
1,1,BP_T01,Transect,2845,28.505323,1458,11782,7347.355859,53763.27075,20230702, 21:31:27.5510,20230703, 00:23:31.5630,45.05265681,-65.24267184,45.22833662,-64.70788841,13.0.378.44817,20230719, 11:51:23.3610,BP_Jul02_2023,1993929.602,-54.31064592,38,
2,2,BP_T02,Transect,2845,35.719366,13840,21475,62954.13701,100367.5088,20230703, 00:57:49.5520,20230703, 03:05:04.5520,45.28229924,-64.78773374,45.13555326,-65.21592543,13.0.378.44817,20230719, 11:51:23.3610,BP_Jul02_2023,2159243.348,-52.85071712,38,
3,1,C1_T01,Transect,2846,33.074101,175,9624,20540.3445,63714.18139,20230702, 20:55:36.6590,20230702, 23:33:05.6590,45.09316215,-65.22396737,45.25842504,-64.74337035,13.0.378.44817,20230719, 11:51:30.9910,C1_Jul02_2023,2461555.776,-56.49916771,38,
4,2,C1_T02,Transect,2846,28.150029,11620,19206,73204.55712,109504.6873,20230703, 00:06:21.6590,20230703, 02:12:47.6590,45.31143703,-64.82810261,45.16906867,-65.22994895,13.0.378.44817,20230719, 11:51:30.9910,C1_Jul02_2023,1712529.802,-57.15162524,38,
5,1,LB_T01,Transect,2847,30.318121,13248,17494,54238.53524,72860.15778,20230703, 00:20:54.4050,20230703, 01:31:40.3940,45.31694443,-64.83331609,45.25012124,-65.04961675,13.0.378.44817,20230719, 11:51:38.3980,LB_Jul02_2023,924308.3178,-57.29029393,38,
6,2,LB_T02,Transect,2847,28.494956,8904,12857,35161.83066,52577.26844,20230702, 23:08:30.3930,20230703, 00:14:23.3930,45.26261079,-65.05060987,45.32478183,-64.84864253,13.0.378.44817,20230719, 11:51:38.3980,LB_Jul02_2023,829284.8328,-57.57576314,38,
7,3,LB_T03,Transect,2847,25.743187,4038,8509,17351.58112,33398.47594,20230702, 21:47:24.3940,20230702, 23:01:55.3930,45.33201667,-64.865595,45.27537833,-65.05065667,13.0.378.44817,20230719, 11:51:38.3980,LB_Jul02_2023,679251.3951,-57.08739593,38,
8,4,LB_T04,Transect,2847,24.260414,325,3650,1299.370542,15465.05517,20230702, 20:45:31.3930,20230702, 21:40:56.3930,45.28974333,-65.049115,45.33958703,-64.88479791,13.0.378.44817,20230719, 11:51:38.3980,LB_Jul02_2023,542819.5167,-55.07195778,38,
9,1,LJ_T01,Transect,2848,30.343586,26,9419,119.135084,42345.36873,20230702, 20:58:02.1240,20230702, 23:34:35.1240,45.08321658,-65.20475029,45.24358554,-64.72173113,13.0.378.44817,20230719, 11:51:43.8630,LJ_Jul02_2023,2191959.602,-54.41340246,38,
10,2,LJ_T02,Transect,2848,28.413457,11592,19787,51589.51382,89240.67897,20230703, 00:10:48.1240,20230703, 02:27:23.1230,45.29759228,-64.80571286,45.14839101,-65.23255648,13.0.378.44817,20230719, 11:51:43.8630,LJ_Jul02_2023,1799391.658,-47.1585228,38,
11,1,SL_T01,Transect,2852,22.500387,352,2801,1349.552083,12394.30244,20230702, 21:58:01.6670,20230702, 22:38:50.6550,45.22863311,-64.67795785,45.26401178,-64.54958288,13.0.378.44817,20230719, 13:39:43.2360,SL_Jul02_2023,406287.7027,-68.90101673,38,
12,2,SL_T02,Transect,2852,23.674727,3364,7000,15042.81734,28556.89303,20230702, 22:48:13.6560,20230702, 23:48:49.6550,45.28412327,-64.55387481,45.24082509,-64.70810126,13.0.378.44817,20230719, 13:39:43.2360,SL_Jul02_2023,528665.3169,-61.20942266,38,
13,3,SL_T03,Transect,2852,31.578264,7767,11404,31841.09831,47622.90932,20230703, 00:01:36.6540,20230703, 01:02:13.6550,45.2556432,-64.73125799,45.30772777,-64.54940559,13.0.378.44817,20230719, 13:39:43.2360,SL_Jul02_2023,830073.5761,-55.76505964,38,
14,4,SL_T04,Transect,2852,42.926026,12017,15944,50716.35577,67961.13101,20230703, 01:12:26.6540,20230703, 02:17:53.6550,45.32845199,-64.55336834,45.27050459,-64.75052561,13.0.378.44817,20230719, 13:39:43.2360,SL_Jul02_2023,1281472.35,-58.1597558,38,
15,1,TM_T01,Transect,2850,24.680501,786,12182,1755.143804,49800.1374,20230702, 20:48:50.1990,20230702, 23:58:46.1990,45.03678377,-65.23388926,45.21586951,-64.68044146,13.0.378.44817,20230719, 11:51:55.6700,TM_Jul02_2023,1957940.988,-62.54815854,38,
16,2,TM_T02,Transect,2850,36.33939,14304,23353,59132.92593,102451.0032,20230703, 00:34:08.1990,20230703, 03:04:57.2100,45.27056757,-64.76447882,45.10108978,-65.25883896,13.0.378.44817,20230719, 11:51:55.6700,TM_Jul02_2023,2748595.418,-57.59848359,38,
