Vessel,Start Lat,Start Lon,End Lat,End Lon
MS,45.03636667,-65.23333333,45.21621667,-64.68106667
LJ,45.04638974,-65.23333333,45.22355897,-64.69213846
FM,45.05641282,-65.23333333,45.23090128,-64.70321026
LB,45.0664359,-65.23333333,45.23824359,-64.71428205
C1,45.07645897,-65.23333333,45.2455859,-64.72535385
LM,45.08648205,-65.23333333,45.25292821,-64.73642564
SL,45.09650513,-65.23333333,45.26027051,-64.74749744
MS,45.10652821,-65.23333333,45.26761282,-64.75856923
LJ,45.11655128,-65.23333333,45.27495513,-64.76964103
FM,45.12657436,-65.23333333,45.28229744,-64.78071282
LB,45.13659744,-65.23333333,45.28963974,-64.79178462
C1,45.14662051,-65.23333333,45.29698205,-64.80285641
LM,45.15664359,-65.23333333,45.30432436,-64.81392821
SL,45.16666667,-65.23333333,45.31166667,-64.825
