id,Region_ID,Region_name,Region_class,Process_ID,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,Uncorrected_area,Area_Backscatter_Strength,Frequency,Region_notes
1,1,C1_T01,Transect,2909,24.143061,319,11164,1177.289031,50060.50329,20230813, 20:08:31.4880,20230813, 23:09:16.4890,45.03718219,-65.23467228,45.21598906,-64.68489856,13.1.120.0,20230821, 15:23:55.2120,C1_Aug13_2023,1940145.833,-57.75179467,38,
2,2,C1_T02,Transect,2909,35.254833,14491,23200,66123.10483,106656.9158,20230814, 00:04:43.4880,20230814, 02:29:52.4880,45.27933276,-64.79330424,45.1085876,-65.23207991,13.1.120.0,20230821, 15:23:55.2120,C1_Aug13_2023,2489227.092,-60.2977451,38,
3,1,FM_T01,Transect,2910,30.3297,197,10438,673.337212,45144.2969,20230814, 21:05:41.2930,20230814, 23:56:22.2930,45.07206404,-65.23230585,45.24174055,-64.72244511,13.1.120.0,20230821, 15:24:03.1490,FM_Aug13_2023,2289821.746,-52.15842718,38,
4,2,FM_T02,Transect,2910,29.691013,12382,20905,53968.34001,91933.12783,20230815, 00:28:46.2940,20230815, 02:50:49.3040,45.29315095,-64.80185644,45.14267861,-65.23399417,13.1.120.0,20230821, 15:24:03.1490,FM_Aug13_2023,1902550.538,-59.03278601,38,
5,1,LM_T01,Transect,2911,27.802802,47,10619,138.4312,46081.17465,20230813, 19:59:07.8780,20230813, 22:55:19.8770,45.06131843,-65.23048056,45.23723246,-64.70458196,13.1.120.0,20230821, 15:24:10.7060,LM_Aug13_2023,2162299.92,-53.90264276,38,
6,2,LM_T02,Transect,2911,33.267486,12396,21638,54635.5825,94003.27659,20230813, 23:24:56.8780,20230814, 01:58:58.8780,45.28568951,-64.78514527,45.13083962,-65.23222542,13.1.120.0,20230821, 15:24:10.7060,LM_Aug13_2023,2258777.823,-60.65915925,38,
7,1,MS_T01,Transect,2912,33.200672,818,10312,3560.034925,46823.10645,20230813, 20:14:02.0690,20230813, 22:52:16.0710,45.09620477,-65.23226083,45.25882148,-64.74879239,13.1.120.0,20230821, 15:24:17.3520,MS_Aug13_2023,2481182.579,-59.35409723,38,
8,2,MS_T02,Transect,2912,30.759074,12407,20554,56109.49151,93459.19546,20230813, 23:27:11.0720,20230814, 01:42:58.0710,45.31124087,-64.82761471,45.16586461,-65.23488696,13.1.120.0,20230821, 15:24:17.3520,MS_Aug13_2023,1948494.928,-59.06781521,38,
9,1,SL_T01,Transect,2913,25.462175,21,10710,95.561897,47048.34098,20230813, 21:06:50.8610,20230814, 00:04:59.8610,45.05138366,-65.22370369,45.22481519,-64.69624937,13.1.120.0,20230821, 15:24:23.5760,SL_Aug13_2023,2005696.096,-59.61221228,38,
10,2,SL_T02,Transect,2913,36.409701,12623,22023,56183.06523,96815.5316,20230814, 00:36:52.8600,20230814, 03:13:32.8610,45.2748188,-64.77943739,45.11948608,-65.23280785,13.1.120.0,20230821, 15:24:23.5760,SL_Aug13_2023,2587042.204,-59.99567667,38,
11,1,TM_T01,Transect,2914,32.145149,284,10767,155196.46,199192.8278,20230813, 20:06:21.2040,20230813, 23:01:04.2050,45.08337594,-65.23732108,45.25775523,-64.73747081,13.1.120.0,20230821, 15:24:30.6350,TM_Aug13_2023,2519423.392,-58.78946104,38,
12,2,TM_T02,Transect,2914,26.493338,12569,21487,207230.5329,244696.359,20230813, 23:31:06.2040,20230814, 01:59:44.2040,45.30384586,-64.81192808,45.15427735,-65.23748462,13.1.120.0,20230821, 15:24:30.6350,TM_Aug13_2023,1710656.056,-62.00687203,38,
