id,Region_ID,Region_name,Region_class,Process_ID,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,Uncorrected_area,Area_Backscatter_Strength,Frequency,Region_notes
1,1,BP_T01,Transect,3009,32.169399,2277,11160,3972.02298,46132.53432,20230910, 20:40:03.6300,20230910, 23:08:06.6300,45.09310359,-65.22976173,45.25286485,-64.74418929,13.1.120.0,20230925, 11:14:42.8170,BP_Sep09_2023,2417719.488,-58.39559335,38,
2,2,BP_T02,Transect,3009,26.083278,12887,19591,54833.24878,90326.41914,20230910, 23:36:53.6290,20230911, 01:28:37.6290,45.30317841,-64.8199791,45.15680683,-65.22077546,13.1.120.0,20230925, 11:14:42.8170,BP_Sep09_2023,1593028.735,-57.70449919,38,
3,1,C1_T01,Transect,3010,31.725189,1281,10751,4215.26426,48151.09686,20230910, 19:43:28.3400,20230910, 22:21:18.3400,45.08163277,-65.22669225,45.24605352,-64.73533807,13.1.120.0,20230925, 11:14:49.9580,C1_Sep09_2023,2372146.7,-60.57958811,38,
4,2,C1_T02,Transect,3010,27.163073,12315,19548,56592.8684,94652.07206,20230910, 22:47:22.3400,20230911, 00:47:55.3400,45.29755789,-64.80549054,45.14937335,-65.23298184,13.1.120.0,20230925, 11:14:49.9580,C1_Sep09_2023,1728154.701,-61.47075125,38,
5,1,FM_T01,Transect,3011,25.788157,530,10893,1483.05552,48203.89101,20230910, 20:32:49.7950,20230910, 23:25:32.7950,45.04566762,-65.23062642,45.22164305,-64.69332898,13.1.120.0,20230925, 11:14:57.3660,FM_Sep09_2023,1951186.21,-60.80659589,38,
6,2,FM_T02,Transect,3011,36.25226,12618,20270,56912.54509,97361.27091,20230910, 23:54:17.7950,20230911, 02:01:49.7960,45.27217214,-64.76924245,45.11532028,-65.23083238,13.1.120.0,20230925, 11:14:57.3660,FM_Sep09_2023,2512010.103,-54.6636028,38,
7,1,LB_T01,Transect,3012,33.685672,161,9346,676.062298,43019.81246,20230910, 19:31:59.0170,20230910, 22:05:04.0170,45.09724461,-65.23190824,45.2606053,-64.74845948,13.1.120.0,20230925, 11:15:05.3710,LB_Sep09_2023,2451521.814,-58.9385506,38,
8,2,LB_T02,Transect,3012,27.833956,11211,18205,51652.2507,88060.71644,20230910, 22:36:09.0170,20230911, 00:32:43.0160,45.31122387,-64.82578905,45.16674293,-65.23307911,13.1.120.0,20230925, 11:15:05.3710,LB_Sep09_2023,1650125.35,-59.46944279,38,
9,1,LJ_T01,Transect,3013,30.159295,90,10011,155161.0046,199852.8685,20230910, 19:36:45.5900,20230910, 22:22:06.5900,45.07186371,-65.23140107,45.24144667,-64.72075499,13.1.120.0,20230925, 11:15:11.3910,LJ_Sep09_2023,2307995.472,-55.9708488,38,
10,2,LJ_T02,Transect,3013,29.565,11796,19529,208603.7623,246642.5476,20230910, 22:51:51.5900,20230911, 01:00:44.5890,45.29173473,-64.79864721,45.14135484,-65.23102598,13.1.120.0,20230925, 11:15:11.3910,LJ_Sep09_2023,1939729.81,-59.58981003,38,
11,1,LM_T01,Transect,3014,26.419539,65,10455,242.029511,46759.55923,20230910, 19:27:06.8560,20230910, 22:20:16.8570,45.05463816,-65.23574689,45.22872608,-64.70107823,13.1.120.0,20230925, 11:15:18.7680,LM_Sep09_2023,2067753.731,-62.63823071,38,
12,2,LM_T02,Transect,3014,35.403244,12036,20566,55748.98533,95635.01731,20230910, 22:46:37.8570,20230911, 01:08:47.8580,45.27933951,-64.77889413,45.12280941,-65.23291065,13.1.120.0,20230925, 11:15:18.7680,LM_Sep09_2023,2446754.351,-57.6589183,38,
13,1,MS_T01,Transect,3015,28.129338,7441,16996,27509.33764,72755.19005,20230910, 19:39:43.7390,20230910, 22:19:00.7400,45.06582875,-65.223023,45.23415,-64.713485,13.1.120.0,20230925, 11:15:27.1050,MS_Sep09_2023,2168492.512,-61.83131598,38,
14,2,MS_T02,Transect,3015,32.226228,18942,26114,81808.61155,120095.3856,20230910, 22:51:26.7410,20230911, 00:50:58.7430,45.28478081,-64.79065271,45.1358326,-65.22197822,13.1.120.0,20230925, 11:15:27.1050,MS_Sep09_2023,2144694.987,-58.1436107,38,
15,1,SL_T01,Transect,3016,24.308644,37,10291,149.873217,47821.92705,20230910, 20:32:52.4170,20230910, 23:23:46.4160,45.03915465,-65.22377055,45.21461649,-64.68596694,13.1.120.0,20230925, 11:15:32.4860,SL_Sep09_2023,1917618.711,-62.65359151,38,
16,2,SL_T02,Transect,3016,33.508691,12018,20005,57012.19791,98851.87502,20230910, 23:52:33.4160,20230911, 02:05:40.4170,45.26611806,-64.76044739,45.10592392,-65.23307616,13.1.120.0,20230925, 11:15:32.4860,SL_Sep09_2023,2428137.344,-59.438472,38,
