Vessel,Start Lat,Start Lon,End Lat,End Lon
FM,43.56666667,-66.49333333,43.23333333,-66.49333333
C1,43.56666667,-66.46518519,43.23333333,-66.46518519
MS,43.56666667,-66.43703704,43.23333333,-66.43703704
LB,43.56666667,-66.40888889,43.23333333,-66.40888889
LJ,43.56666667,-66.38074074,43.23333333,-66.38074074
FM,43.56666667,-66.35259259,43.23333333,-66.35259259
C1,43.56666667,-66.32444444,43.23333333,-66.32444444
MS,43.56666667,-66.2962963,43.23333333,-66.2962963
LB,43.56666667,-66.26814815,43.23333333,-66.26814815
LJ,43.56666667,-66.24,43.23333333,-66.24
FM,43.502,-66.23,43.2475,-66.23
C1,43.502,-66.21833333,43.2475,-66.21833333
MS,43.502,-66.20666667,43.2475,-66.20666667
LB,43.502,-66.195,43.2475,-66.195
LJ,43.502,-66.18333333,43.2475,-66.18333333
FM,43.502,-66.17166667,43.2475,-66.17166667
C1,43.502,-66.16,43.2475,-66.16
MS,43.502,-66.14833333,43.2475,-66.14833333
LB,43.502,-66.13666667,43.2475,-66.13666667
LJ,43.502,-66.125,43.2475,-66.125
