id,Region_ID,Region_name,Region_class,Process_ID,Interval,Layer,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,PRC_ABC,Frequency,Region_notes
1,1,BP_T01,Transect,150,5,1,43.742764,2415,2438,4888.561325,4995.867416,20240902, 19:31:00.9680,20240902, 19:31:24.1980,43.56336978,-66.43706855,43.5624084,-66.43699194,14.0.213.0,20240909, 12:34:00.1340,BP_Sep02_2024,1.4208E-07,38,
2,1,BP_T01,Transect,150,6,1,46.070636,2439,2653,5000.624003,5999.691573,20240902, 19:31:25.2130,20240902, 19:35:01.3470,43.56236571,-66.43698785,43.5533846,-66.436975,14.0.213.0,20240909, 12:34:00.1340,BP_Sep02_2024,1.96246E-06,38,
3,1,BP_T01,Transect,150,7,1,45.215035,2654,2870,6004.208287,6999.526195,20240902, 19:35:02.3570,20240902, 19:38:40.5160,43.55334396,-66.43697426,43.54439689,-66.43717402,14.0.213.0,20240909, 12:34:00.1340,BP_Sep02_2024,2.10472E-06,38,
4,1,BP_T01,Transect,150,8,1,44.29303,2871,3089,7004.103428,7997.888968,20240902, 19:38:41.5270,20240902, 19:42:21.7070,43.5443562,-66.43718278,43.53542536,-66.43719764,14.0.213.0,20240909, 12:34:00.1340,BP_Sep02_2024,1.95499E-06,38,
5,1,BP_T01,Transect,150,9,1,46.616341,3090,3312,8002.410466,8999.035603,20240902, 19:42:22.7170,20240902, 19:46:06.9370,43.53538469,-66.437197,43.52642904,-66.43725496,14.0.213.0,20240909, 12:34:00.1340,BP_Sep02_2024,1.95295E-06,38,
6,1,BP_T01,Transect,150,10,1,45.707993,3313,3528,9003.70387,9999.357349,20240902, 19:46:07.9470,20240902, 19:49:45.0970,43.52638705,-66.43725323,43.51744003,-66.43730551,14.0.213.0,20240909, 12:34:00.1340,BP_Sep02_2024,2.41494E-06,38,
7,1,BP_T01,Transect,150,11,1,48.2797,3529,3741,10003.8028,10997.57847,20240902, 19:49:46.1070,20240902, 19:53:20.2280,43.51740027,-66.4373,43.50846588,-66.43741396,14.0.213.0,20240909, 12:34:00.1340,BP_Sep02_2024,2.11185E-06,38,
8,1,BP_T01,Transect,150,12,1,48.623445,3742,3954,11002.1182,11996.60486,20240902, 19:53:21.2370,20240902, 19:56:55.3580,43.50842507,-66.43741167,43.49948347,-66.43746094,14.0.213.0,20240909, 12:34:00.1340,BP_Sep02_2024,1.96261E-06,38,
9,1,BP_T01,Transect,150,13,1,45.300144,3955,4166,12001.51942,12995.46303,20240902, 19:56:56.3680,20240902, 20:00:29.4880,43.49943927,-66.43746148,43.49050723,-66.43746927,14.0.213.0,20240909, 12:34:00.1340,BP_Sep02_2024,1.90668E-06,38,
10,1,BP_T01,Transect,150,14,1,45.647713,4167,4380,13000.41449,13999.90358,20240902, 20:00:30.4870,20240902, 20:04:05.6160,43.49046271,-66.4374719,43.48147968,-66.43737133,14.0.213.0,20240909, 12:34:00.1340,BP_Sep02_2024,2.40585E-06,38,
11,1,BP_T01,Transect,150,15,1,45.587639,4381,4597,14004.78821,14997.05051,20240902, 20:04:06.6270,20240902, 20:07:44.7880,43.48143599,-66.43737805,43.47252199,-66.43756979,14.0.213.0,20240909, 12:34:00.1340,BP_Sep02_2024,5.98635E-06,38,
12,1,BP_T01,Transect,150,16,1,44.559908,4598,4813,15001.88584,15996.19983,20240902, 20:07:45.7970,20240902, 20:11:22.9470,43.4724786,-66.43757439,43.46354703,-66.43760316,14.0.213.0,20240909, 12:34:00.1340,BP_Sep02_2024,6.02955E-06,38,
13,1,BP_T01,Transect,150,17,1,43.303932,4814,5042,16000.52659,16999.54185,20240902, 20:11:23.9570,20240902, 20:15:14.2370,43.46350826,-66.43759833,43.45453174,-66.43751667,14.0.213.0,20240909, 12:34:00.1340,BP_Sep02_2024,2.82873E-06,38,
14,1,BP_T01,Transect,150,18,1,44.289395,5043,5270,17003.76097,17997.62437,20240902, 20:15:15.2480,20240902, 20:19:04.5170,43.45449383,-66.43751834,43.44557315,-66.43772401,14.0.213.0,20240909, 12:34:00.1340,BP_Sep02_2024,3.95597E-06,38,
15,1,BP_T01,Transect,150,19,1,44.212977,5271,5496,18002.06231,18995.84501,20240902, 20:19:05.5260,20240902, 20:22:52.7880,43.44553322,-66.43772333,43.4366017,-66.43774125,14.0.213.0,20240909, 12:34:00.1340,BP_Sep02_2024,2.14461E-06,38,
16,1,BP_T01,Transect,150,20,1,42.555661,5497,5726,19000.28301,19999.11503,20240902, 20:22:53.7880,20240902, 20:26:45.0880,43.43656178,-66.43774021,43.42758794,-66.43769029,14.0.213.0,20240909, 12:34:00.1340,BP_Sep02_2024,3.40163E-06,38,
