id,Region_ID,Region_name,Region_class,Process_ID,Interval,Layer,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,PRC_ABC,Frequency,Region_notes
1,1,LJ_T01,Transect,174,26,1,28.209157,5872,5927,25758.11205,25997.5515,20240908, 21:54:53.8580,20240908, 21:55:48.8580,43.30410064,-66.44519337,43.30195491,-66.44506726,14.0.213.0,20240918, 08:42:25.8980,LJ_Sep08_2024,1.4155E-07,38,
2,1,LJ_T01,Transect,174,27,1,30.170229,5928,6166,26002.16897,26997.94006,20240908, 21:55:49.8570,20240908, 21:59:47.8570,43.30191338,-66.44506741,43.29298693,-66.44502673,14.0.213.0,20240918, 08:42:25.8980,LJ_Sep08_2024,3.90672E-07,38,
3,1,LJ_T01,Transect,174,28,1,27.931442,6167,6409,27002.04414,27998.05787,20240908, 21:59:48.8580,20240908, 22:03:50.8580,43.29295059,-66.44501765,43.28405446,-66.4444199,14.0.213.0,20240918, 08:42:25.8980,LJ_Sep08_2024,3.05076E-07,38,
4,1,LJ_T01,Transect,174,29,1,31.727316,6410,6646,28002.12716,28998.44553,20240908, 22:03:51.8570,20240908, 22:07:47.8580,43.28401791,-66.44441708,43.27509308,-66.44423313,14.0.213.0,20240918, 08:42:25.8980,LJ_Sep08_2024,2.89156E-07,38,
5,1,LJ_T01,Transect,174,30,1,36.170638,6647,6880,29002.63102,29998.69576,20240908, 22:07:48.8570,20240908, 22:11:41.8580,43.27505543,-66.44423476,43.26611714,-66.44420635,14.0.213.0,20240918, 08:42:25.8980,LJ_Sep08_2024,7.20323E-07,38,
6,1,LJ_T01,Transect,174,31,1,40.745285,6881,7113,30002.89664,30997.87027,20240908, 22:11:42.8580,20240908, 22:15:34.8570,43.26607945,-66.44420216,43.25715856,-66.44425101,14.0.213.0,20240918, 08:42:25.8980,LJ_Sep08_2024,3.35866E-07,38,
7,1,LJ_T01,Transect,174,32,1,41.218339,7114,7229,31002.17384,31505.32777,20240908, 22:15:35.8580,20240908, 22:17:30.8580,43.25712037,-66.44424361,43.25263316,-66.4443042,14.0.213.0,20240918, 08:42:25.8980,LJ_Sep08_2024,3.73647E-07,38,
8,2,LJ_T02,Transect,174,18,1,40.130044,3946,4160,17056.12538,17999.0125,20240908, 21:22:47.8580,20240908, 21:26:21.8570,43.25319848,-66.41057653,43.26161616,-66.41083546,14.0.213.0,20240918, 08:42:25.8980,LJ_Sep08_2024,1.32874E-06,38,
9,2,LJ_T02,Transect,174,19,1,38.105555,4161,4389,18003.3604,18997.38742,20240908, 21:26:22.8580,20240908, 21:30:10.8570,43.26165523,-66.4108322,43.27057073,-66.41080437,14.0.213.0,20240918, 08:42:25.8980,LJ_Sep08_2024,1.56437E-06,38,
10,2,LJ_T02,Transect,174,20,1,34.201223,4390,4619,19001.68484,19997.58803,20240908, 21:30:11.8580,20240908, 21:34:00.8580,43.27060939,-66.410805,43.27954712,-66.41066066,14.0.213.0,20240918, 08:42:25.8980,LJ_Sep08_2024,1.40195E-06,38,
