id,Region_ID,Region_name,Region_class,Process_ID,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,Uncorrected_area,Area_Backscatter_Strength,Frequency,Region_notes
1,1,C1_T01,Transect,184,48.065742,1396,10145,2535.954689,41478.19329,20240915, 19:43:03.3810,20240915, 22:08:52.3700,43.56681629,-66.49100667,43.23739948,-66.48977405,15.0.210.0,20240924, 12:03:18.8190,C1_Sep15_2024,3267748.699,-56.73807164,38,
2,2,C1_T02,Transect,184,32.607961,12166,21079,53004.07679,91628.07854,20240915, 22:42:33.3700,20240916, 01:11:06.3710,43.23520366,-66.3532455,43.56491932,-66.3547697,15.0.210.0,20240924, 12:03:18.8190,C1_Sep15_2024,2179081.763,-58.3233895,38,
3,3,C1_T03,Transect,184,36.759902,22999,29468,104233.6347,134061.9494,20240916, 01:43:06.3700,20240916, 03:30:55.3710,43.50213817,-66.23092135,43.24751349,-66.22954171,15.0.210.0,20240924, 12:03:18.8190,C1_Sep15_2024,1901954.243,-65.25003459,38,
4,4,C1_T04,Transect,184,29.678791,30319,36965,138756.458,169058.1159,20240916, 03:45:06.3700,20240916, 05:35:52.3700,43.24796563,-66.17392602,43.50481466,-66.17488233,15.0.210.0,20240924, 12:03:18.8190,C1_Sep15_2024,1523249.85,-60.83425415,38,
5,1,FM_T01,Transect,185,45.612327,1202,10296,1688.664391,39675.84205,20240915, 20:33:29.2160,20240915, 23:05:03.2150,43.56870947,-66.47037834,43.23380246,-66.47008299,15.0.210.0,20240924, 12:03:28.5150,FM_Sep15_2024,2962801.886,-49.97442644,38,
6,2,FM_T02,Transect,185,35.972023,12481,21225,51311.15734,88865.18456,20240915, 23:41:28.2150,20240916, 02:07:12.2150,43.23478826,-66.33290081,43.56718054,-66.33198005,15.0.210.0,20240924, 12:03:28.5150,FM_Sep15_2024,2333309.954,-54.59179188,38,
7,3,FM_T03,Transect,185,35.710333,23179,29288,100853.6226,129629.6618,20240916, 02:39:46.2150,20240916, 04:21:35.2150,43.50351181,-66.22096175,43.24860429,-66.22001335,15.0.210.0,20240924, 12:03:28.5150,FM_Sep15_2024,1769933.62,-61.31091085,38,
8,4,FM_T04,Transect,185,28.116865,30183,36792,134502.2372,163753.3978,20240916, 04:36:30.2150,20240916, 06:26:39.2150,43.24743213,-66.162766,43.50498015,-66.16430997,15.0.210.0,20240924, 12:03:28.5150,FM_Sep15_2024,1373157.082,-56.06403516,38,
9,1,LB_T01,Transect,186,37.420745,618,10173,2642.578002,40708.57577,20240915, 19:29:22.5770,20240915, 22:08:37.5780,43.56691515,-66.40089913,43.23490732,-66.40115524,15.0.210.0,20240924, 12:03:37.7830,LB_Sep15_2024,2471289.024,-49.80471919,38,
10,2,LB_T02,Transect,186,41.733392,12613,21563,52334.29768,90301.56263,20240915, 22:49:17.5780,20240916, 01:18:27.5780,43.23251244,-66.26528479,43.56570606,-66.26300096,15.0.210.0,20240924, 12:03:37.7830,LB_Sep15_2024,2806208.03,-51.25243078,38,
11,3,LB_T03,Transect,186,31.035234,23297,29673,99822.66392,128837.6814,20240916, 01:47:21.5880,20240916, 03:33:37.5780,43.50199827,-66.19185396,43.24715918,-66.19173166,15.0.210.0,20240924, 12:03:37.7830,LB_Sep15_2024,1520961.876,-62.47957313,38,
12,4,LB_T04,Transect,186,26.216494,30867,37152,133931.7945,162999.2054,20240916, 03:53:31.5780,20240916, 05:38:16.5780,43.24882199,-66.13499673,43.50441301,-66.13557651,15.0.210.0,20240924, 12:03:37.7830,LB_Sep15_2024,1188554.756,-57.14036183,38,
13,1,LJ_T01,Transect,187,39.448689,1,8944,2.732356,37385.42879,20240915, 19:40:03.4830,20240915, 22:09:06.4840,43.56840807,-66.4233503,43.23267158,-66.4240869,15.0.210.0,20240924, 12:03:45.8750,LJ_Sep15_2024,2562158.98,-53.49771638,38,
14,2,LJ_T02,Transect,187,38.032555,11112,19867,48864.10065,85961.87141,20240915, 22:45:14.4840,20240916, 01:11:09.4830,43.23364783,-66.28619912,43.56675931,-66.28599991,15.0.210.0,20240924, 12:03:45.8750,LJ_Sep15_2024,2491210.995,-59.13715178,38,
15,3,LJ_T03,Transect,187,32.130625,21591,28028,96152.12832,124473.0248,20240916, 01:39:53.4830,20240916, 03:27:10.4830,43.50416911,-66.2019329,43.24957945,-66.20138801,15.0.210.0,20240924, 12:03:45.8750,LJ_Sep15_2024,1580400.385,-64.19357325,38,
16,4,LJ_T04,Transect,187,25.857412,29002,35750,129389.1406,157669.5225,20240916, 03:43:24.4840,20240916, 05:35:52.4840,43.24810432,-66.144415,43.50188039,-66.14374311,15.0.210.0,20240924, 12:03:45.8750,LJ_Sep15_2024,1174862.637,-57.6532962,38,
17,1,LM_T01,Transect,188,33.654592,0,8945,0,38509.17708,20240915, 19:26:36.1920,20240915, 21:55:41.2020,43.57208667,-66.37393667,43.23324042,-66.37783384,15.0.210.0,20240924, 12:03:54.0250,LM_Sep15_2024,2232987.168,-43.57391738,38,
