Vessel,Transect.No.,Speed,Transect
C1,T01,8.652129509906025,T01
C1,T02,8.423525138754627,T02
C1,T03,8.962972831418767,T03
C1,T04,8.862710606731268,T04
FM,T01,8.119748781687987,T01
FM,T02,8.348469838898081,T02
FM,T03,9.1563293564459,T03
FM,T04,8.603355427553941,T04
LB,T01,7.7440302565514525,T01
LB,T02,8.246065731889162,T02
LB,T03,8.845757775772148,T03
LB,T04,8.990039141424978,T04
LJ,T01,8.125459089373427,T01
LJ,T02,8.236679693217408,T02
LJ,T03,8.552321176585863,T03
LJ,T04,8.146493413232957,T04
LM,T01,8.368438096722999,T01
LM,T02,8.312236984087392,T02
LM,T03,8.377116095267596,T03
LM,T04,8.229439282727979,T04
MS,T01,7.999546929256937,T01
MS,T02,8.420044655731557,T02
MS,T03,9.627143521133942,T03
MS,T04,8.544248272824115,T04
