Vessel,Transect No.,Target Strength (db/kg),Mean Sa (/m2),Biomass Density (kg/m2),Distance
BP,T01,-35.5,-57.7068476,0.006016102680277,36.896551918
BP,T02,-35.5,-57.7419921,0.00596761490505711,36.59401084
FM,T01,-35.5,-56.93635959,0.00718396224087198,37.667539247
FM,T02,-35.5,-54.80265748,0.0117417884636502,37.8298636
LB,T01,-35.5,-49.87835178,0.0364892403404243,38.160762973
LB,T02,-35.5,-55.50247015,0.00999431388663986,37.99062888
LJ,T01,-35.5,-54.38736097,0.0129200413321245,37.246841109
LJ,T02,-35.5,-55.80662546,0.0093183164285008,37.0325382
LM,T01,-35.5,-59.81120322,0.0037057803830434,37.86636063
LM,T02,-35.5,-49.48348897,0.0399623577161422,37.52874136
MS,T01,-35.5,-59.17152292,0.004293858296558,40.656087948
MS,T02,-35.5,-57.28502169,0.00662976036556495,38.72592751
BP,T03,-35.5,-56.2529268,0.00840828299147153,28.68913913
BP,T04,-35.5,-54.41163063,0.0128480416853133,28.5527926
FM,T03,-35.5,-55.19877563,0.0107182143227246,29.2375364
FM,T04,-35.5,-54.7283431,0.0119444371612876,28.901924
LB,T03,-35.5,-55.83449809,0.00925870380896872,29.16576778
LB,T04,-35.5,-56.03951372,0.00883178784506226,29.3966352
LJ,T03,-35.5,-53.94195922,0.0143154194624782,28.26528196
LJ,T04,-35.5,-54.07505117,0.0138833695199144,28.405273
LM,T03,-35.5,-55.21822074,0.0106703318425813,28.88996781
LM,T04,-35.5,-53.37677905,0.0163050485011376,29.2755429
MS,T03,-35.5,-58.20862567,0.00535966237826819,30.0483655
MS,T04,-35.5,-55.99046848,0.00893209126722239,30.0245745
