Vessel,Start Lat,Start Lon,End Lat,End Lon
LJ,43.56666667,-66.24,43.23333333,-66.24
LM,43.56666667,-66.25948718,43.23333333,-66.25948718
FM,43.56666667,-66.27897436,43.23333333,-66.27897436
BP,43.56666667,-66.29846154,43.23333333,-66.29846154
MS,43.56666667,-66.31794872,43.23333333,-66.31794872
C1,43.56666667,-66.3374359,43.23333333,-66.3374359
LB,43.56666667,-66.35692308,43.23333333,-66.35692308
LJ,43.56666667,-66.37641026,43.23333333,-66.37641026
LM,43.56666667,-66.39589744,43.23333333,-66.39589744
FM,43.56666667,-66.41538462,43.23333333,-66.41538462
BP,43.56666667,-66.43487179,43.23333333,-66.43487179
MS,43.56666667,-66.45435897,43.23333333,-66.45435897
C1,43.56666667,-66.47384615,43.23333333,-66.47384615
LB,43.56666667,-66.49333333,43.23333333,-66.49333333
LJ,43.502,-66.125,43.2475,-66.125
LM,43.502,-66.13307692,43.2475,-66.13307692
FM,43.502,-66.14115385,43.2475,-66.14115385
BP,43.502,-66.14923077,43.2475,-66.14923077
MS,43.502,-66.15730769,43.2475,-66.15730769
C1,43.502,-66.16538462,43.2475,-66.16538462
LB,43.502,-66.17346154,43.2475,-66.17346154
LJ,43.502,-66.18153846,43.2475,-66.18153846
LM,43.502,-66.18961538,43.2475,-66.18961538
FM,43.502,-66.19769231,43.2475,-66.19769231
BP,43.502,-66.20576923,43.2475,-66.20576923
MS,43.502,-66.21384615,43.2475,-66.21384615
C1,43.502,-66.22192308,43.2475,-66.22192308
LB,43.502,-66.23,43.2475,-66.23
