id,id,Region_ID,Region_name,Region_class,Process_ID,Interval,Layer,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,PRC_ABC,Frequency,Region_notes
1,1,1,BP_T01,Transect,3118,15,1,40.810417,4632,4667,14831.74089,14996.30876,20240505, 19:38:10.7560,20240505, 19:38:45.7570,45.13551237,-65.2343455,45.13624218,-65.23254586,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,3.08499E-06,38,
2,2,1,BP_T01,Transect,3118,16,1,41.729619,4668,4893,15001.05395,15999.30781,20240505, 19:38:46.7560,20240505, 19:42:31.7560,45.13626211,-65.23249252,45.14040349,-65.221241,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,2.98312E-05,38,
3,3,1,BP_T01,Transect,3118,17,1,42.061188,4894,5111,16003.82857,16998.70527,20240505, 19:42:32.7660,20240505, 19:46:09.7560,45.14042047,-65.22118877,45.14420203,-65.20972928,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,1.34693E-05,38,
4,4,1,BP_T01,Transect,3118,18,1,41.559681,5112,5329,17003.28777,17997.25542,20240505, 19:46:10.7670,20240505, 19:49:47.7560,45.14422051,-65.2096772,45.14803331,-65.19824974,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,7.7641E-05,38,
5,5,1,BP_T01,Transect,3118,19,1,40.983113,5330,5546,18001.89347,18996.51668,20240505, 19:49:48.7670,20240505, 19:53:24.7570,45.14805032,-65.19819588,45.15191196,-65.18679115,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,2.83947E-05,38,
6,6,1,BP_T01,Transect,3118,20,1,40.285199,5547,5764,19001.06049,19997.08155,20240505, 19:53:25.7560,20240505, 19:57:02.7560,45.15193024,-65.18673946,45.15575515,-65.17529271,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,2.04636E-06,38,
7,7,1,BP_T01,Transect,3118,21,1,38.382499,5765,5981,20001.55874,20996.74088,20240505, 19:57:03.7560,20240505, 20:00:39.7560,45.15577196,-65.17524097,45.15966683,-65.16385135,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,6.36719E-06,38,
8,8,1,BP_T01,Transect,3118,22,1,35.381278,5982,6195,21001.38869,21995.92663,20240505, 20:00:40.7550,20240505, 20:04:13.7570,45.15968528,-65.16379831,45.16357515,-65.1524132,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,1.17019E-06,38,
9,9,1,BP_T01,Transect,3118,23,1,34.840227,6196,6415,22000.52313,22998.43363,20240505, 20:04:14.7560,20240505, 20:07:53.7560,45.1635935,-65.15236081,45.16741511,-65.14088331,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,1.08281E-06,38,
10,10,1,BP_T01,Transect,3118,24,1,34.364899,6416,6635,23003.02196,23998.82745,20240505, 20:07:54.7570,20240505, 20:11:33.7550,45.16743348,-65.14083105,45.17132698,-65.1294311,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,5.38925E-07,38,
11,11,1,BP_T01,Transect,3118,25,1,31.889094,6636,6853,24003.3756,24995.84126,20240505, 20:11:34.7560,20240505, 20:15:11.7570,45.17134547,-65.12937949,45.17531013,-65.11807828,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,5.38767E-07,38,
12,12,1,BP_T01,Transect,3118,26,1,32.326418,6854,7073,25000.36628,25996.11837,20240505, 20:15:12.7560,20240505, 20:18:51.7670,45.17532843,-65.11802686,45.17924347,-65.10664274,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,3.71449E-07,38,
13,13,1,BP_T01,Transect,3118,27,1,36.62422,7074,7297,26000.6025,26998.83809,20240505, 20:18:52.7570,20240505, 20:22:35.7560,45.17925997,-65.10659068,45.1830865,-65.09510818,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,3.12091E-07,38,
14,14,1,BP_T01,Transect,3118,28,1,40.485347,7298,7519,27003.20186,27998.34229,20240505, 20:22:36.7530,20240505, 20:26:17.7660,45.18310141,-65.09505682,45.18697526,-65.08365509,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,5.65572E-07,38,
15,15,1,BP_T01,Transect,3118,29,1,41.9348,7520,7763,28002.54744,28999.56902,20240505, 20:26:18.7570,20240505, 20:30:21.7570,45.18699345,-65.08360817,45.19090492,-65.07220493,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,4.71589E-07,38,
16,16,1,BP_T01,Transect,3118,30,1,35.417545,7764,7974,29004.14053,29996.09603,20240505, 20:30:22.7560,20240505, 20:33:52.7560,45.19092159,-65.07215175,45.19467196,-65.06071279,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,3.97158E-07,38,
17,17,1,BP_T01,Transect,3118,31,1,33.781825,7975,8198,30001.08831,30996.6293,20240505, 20:33:53.7680,20240505, 20:37:36.7560,45.19469198,-65.06065592,45.19861838,-65.04928337,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,1.92907E-07,38,
18,18,1,BP_T01,Transect,3118,32,1,32.782784,8199,8424,31000.84989,31995.57413,20240505, 20:37:37.7550,20240505, 20:41:22.7570,45.19863498,-65.04923506,45.20251838,-65.03784302,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,3.29953E-07,38,
19,19,1,BP_T01,Transect,3118,33,1,34.891262,8425,8645,32000.03424,32996.57613,20240505, 20:41:23.7560,20240505, 20:45:03.7570,45.202535,-65.03779135,45.20639498,-65.0263549,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,3.71261E-07,38,
20,20,1,BP_T01,Transect,3118,34,1,34.416212,8646,8874,33001.02007,33998.56695,20240505, 20:45:04.7550,20240505, 20:48:52.7560,45.20641158,-65.02630343,45.21031009,-65.01487621,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,4.91821E-07,38,
21,21,1,BP_T01,Transect,3118,35,1,36.471734,8875,9099,34003.00335,34995.56666,20240505, 20:48:53.7560,20240505, 20:52:37.7560,45.21032671,-65.01482486,45.21425673,-65.00349029,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,3.72476E-07,38,
22,22,1,BP_T01,Transect,3118,36,1,37.302267,9100,9325,35000.04024,35995.90109,20240505, 20:52:38.7570,20240505, 20:56:23.7570,45.21427545,-65.00343989,45.21821839,-64.99206696,14.0.206.0,20240514, 11:11:06.3610,BP_May05_2024,4.25782E-07,38,
