Vessel,Transect.No.,Date.Time.Start,Date.Time.End,Start.Lon,Start.Lat,End.Lon,End.Lat,Dist..km.,Type,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
FM,T01,2024-09-08T20:36:24Z,2024-09-08T23:24:17Z,-65.23095045,45.08914656,-64.77363191,45.2443065,40.673428026,Actual,10,SB,40.673428026,2024-09-08T20:36:24Z,2024-09-08T23:24:17Z,167.88333333333333,7.848966180289868,2024,2024-09-08
FM,T02,2024-09-08T23:58:04Z,2024-09-09T02:19:14Z,-64.83643887,45.30736102,-65.23580333,45.16564168,36.16649916,Actual,10,SB,36.16649916,2024-09-08T23:58:04Z,2024-09-09T02:19:14Z,141.16666666666669,8.300104808403114,2024,2024-09-08
LB,T01,2024-09-08T19:24:29Z,2024-09-08T22:47:59Z,-65.23135659,45.03719891,-64.68451833,45.21540667,48.010550516,Actual,10,SB,48.010550516,2024-09-08T19:24:29Z,2024-09-08T22:47:59Z,203.5,7.643311098691355,2024,2024-09-08
LB,T02,2024-09-08T23:25:30Z,2024-09-09T02:46:19Z,-64.76779,45.27359167,-65.23317167,45.11456167,41.4104979,Actual,10,SB,41.4104979,2024-09-08T23:25:30Z,2024-09-09T02:46:19Z,200.81666666666666,6.680669120917587,2024,2024-09-08
LM,T01,2024-09-08T19:28:34Z,2024-09-08T22:24:13Z,-65.24253404,45.06263532,-64.71618015,45.23370263,45.827119365,Actual,10,SB,45.827119365,2024-09-08T19:28:34Z,2024-09-08T22:24:13Z,175.65,8.452470605034785,2024,2024-09-08
LM,T02,2024-09-08T22:55:55Z,2024-09-09T01:28:14Z,-64.795858140000007,45.29229938,-65.23657034,45.13712717,39.18457218,Actual,10,SB,39.18457218,2024-09-08T22:55:55Z,2024-09-09T01:28:14Z,152.31666666666666,8.334450025864012,2024,2024-09-08
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,10,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,10,SB,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,Actual,10,SB,NA,NA,NA,NA,NA,NA,NA
LB,NA,NA,NA,-65.23333333,45.03636667,-64.68106667,45.21621667,NA,Plan,10,SB,47.77303993942598,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,-65.23333333,45.06242667,-64.70985333,45.23530667,NA,Plan,10,SB,45.380994034681216,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,-65.23333333,45.08848667,-64.73864,45.25439667,NA,Plan,10,SB,42.99208511401241,NA,NA,NA,NA,NA,NA
LB,NA,NA,NA,-65.23333333,45.11454667,-64.76742667,45.27348667,NA,Plan,10,SB,40.606569177919916,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,-65.23333333,45.14060667,-64.79621333,45.29257667,NA,Plan,10,SB,38.224765058434095,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,-65.23333333,45.16666667,-64.825,45.31166667,NA,Plan,10,SB,35.84707290841503,NA,NA,NA,NA,NA,NA
