id,Region_ID,Region_name,Region_class,Process_ID,Interval,Layer,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,PRC_ABC,Frequency,Region_notes
1,1,BP_T01,Transect,0,3,1,28.160719,1827,1999,2252.298051,2999.176504,20240602, 19:35:57.3940,20240602, 19:38:49.3940,45.22568879,-64.68671915,45.22784793,-64.67772905,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,7.61444E-08,38,
2,1,BP_T01,Transect,0,4,1,28.255773,2000,2232,3003.43851,3998.81848,20240602, 19:38:50.3960,20240602, 19:42:42.4060,45.22786127,-64.67767816,45.2312522,-64.66596433,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,3.01087E-06,38,
3,1,BP_T01,Transect,0,5,1,28.274053,2233,2468,4003.053937,4996.42012,20240602, 19:42:43.3950,20240602, 19:46:38.3950,45.23126623,-64.6659142,45.23470045,-64.65424587,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,0.000201513,38,
4,1,BP_T01,Transect,0,6,1,27.405475,2469,2711,5000.673197,5997.396567,20240602, 19:46:39.3950,20240602, 19:50:41.4060,45.23471297,-64.6541947,45.23795967,-64.64236871,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,3.68814E-06,38,
5,1,BP_T01,Transect,0,7,1,26.410441,2712,2935,6001.421931,6997.322351,20240602, 19:50:42.3960,20240602, 19:54:25.3960,45.23797284,-64.64232095,45.24125938,-64.63053077,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,7.89502E-07,38,
6,1,BP_T01,Transect,0,8,1,25.814524,2936,3162,7001.891921,7999.943693,20240602, 19:54:26.3950,20240602, 19:58:12.3950,45.24127854,-64.63047928,45.24460697,-64.61868433,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,4.49987E-08,38,
7,1,BP_T01,Transect,0,9,1,25.613063,3163,3390,8004.318173,8996.933523,20240602, 19:58:13.3950,20240602, 20:02:00.3950,45.24462193,-64.61863279,45.24778269,-64.60682404,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,7.71519E-05,38,
8,1,BP_T01,Transect,0,10,1,25.258673,3391,3608,9002.763194,9995.715462,20240602, 20:02:01.3950,20240602, 20:05:38.3950,45.24780517,-64.60675694,45.25110706,-64.59501597,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,7.00222E-06,38,
9,1,BP_T01,Transect,0,11,1,24.382401,3609,3824,10000.02674,10997.84233,20240602, 20:05:39.3950,20240602, 20:09:14.3950,45.25112098,-64.59496475,45.25443772,-64.5831612,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,4.47298E-05,38,
10,1,BP_T01,Transect,0,12,1,23.131046,3825,4049,11002.50321,11997.58791,20240602, 20:09:15.4060,20240602, 20:12:59.3960,45.25445466,-64.58310689,45.25766611,-64.57129224,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,1.96569E-07,38,
11,1,BP_T01,Transect,0,13,1,22.366539,4050,4273,12002.02021,12995.54143,20240602, 20:13:00.3950,20240602, 20:16:43.3950,45.25768026,-64.57123946,45.26095665,-64.55947057,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,3.13338E-05,38,
12,1,BP_T01,Transect,0,14,1,22.915985,4274,4435,13002.12792,13720.17253,20240602, 20:16:44.3950,20240602, 20:19:25.3950,45.26097826,-64.55939243,45.26355467,-64.55102205,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,5.20567E-05,38,
13,2,BP_T02,Transect,0,17,1,24.451413,5092,5121,16878.97755,16999.29062,20240602, 20:30:22.3950,20240602, 20:30:51.3960,45.28270128,-64.55785068,45.28242205,-64.55933066,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,0,38,
14,2,BP_T02,Transect,0,18,1,24.668921,5122,5359,17003.34635,17999.8032,20240602, 20:30:52.3950,20240602, 20:34:49.3960,45.28241122,-64.55938002,45.27904841,-64.57112458,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,0,38,
15,2,BP_T02,Transect,0,19,1,24.981846,5360,5594,18004.00987,18998.97836,20240602, 20:34:50.3950,20240602, 20:38:44.4060,45.27903317,-64.57117366,45.27565029,-64.58289386,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,0,38,
16,2,BP_T02,Transect,0,20,1,25.008322,5595,5832,19004.2572,19996.66289,20240602, 20:38:45.3950,20240602, 20:42:42.3950,45.27563348,-64.58295675,45.27233973,-64.59469425,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,0,38,
17,2,BP_T02,Transect,0,21,1,25.1834,5833,6069,20000.86268,20998.68798,20240602, 20:42:43.4070,20240602, 20:46:39.3950,45.27232719,-64.59474472,45.26903977,-64.60655223,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,0,38,
18,2,BP_T02,Transect,0,22,1,25.461003,6070,6303,21002.85451,21997.23311,20240602, 20:46:40.3950,20240602, 20:50:33.3960,45.26902468,-64.60660084,45.26576232,-64.61837997,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,0,38,
19,2,BP_T02,Transect,0,23,1,25.658407,6304,6527,22001.59249,22998.28668,20240602, 20:50:34.3950,20240602, 20:54:17.3950,45.26574903,-64.61843223,45.26253139,-64.63027487,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,0,38,
20,2,BP_T02,Transect,0,24,1,25.962864,6528,6758,23000.75622,23995.73009,20240602, 20:54:18.3950,20240602, 20:58:08.3960,45.262525,-64.630305,45.25927468,-64.64211097,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,0,38,
21,2,BP_T02,Transect,0,25,1,26.364261,6759,6997,24001.20128,24997.17807,20240602, 20:58:09.3950,20240602, 21:02:07.3950,45.25925504,-64.64217487,45.25598406,-64.65396934,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,8.98033E-08,38,
22,2,BP_T02,Transect,0,26,1,26.588861,6998,7227,25003.69219,25995.74506,20240602, 21:02:08.3950,20240602, 21:05:57.3950,45.25595995,-64.65404499,45.25265814,-64.66577545,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,6.7955E-07,38,
23,2,BP_T02,Transect,0,27,1,26.501236,7228,7461,26000.01989,26994.06376,20240602, 21:05:58.4070,20240602, 21:09:51.3950,45.25264222,-64.66582502,45.24944283,-64.67762547,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,1.61851E-07,38,
24,2,BP_T02,Transect,0,28,1,26.679297,7462,7697,27000.44409,27998.36024,20240602, 21:09:52.3950,20240602, 21:13:47.4060,45.24942704,-64.67770361,45.24606207,-64.68946848,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,0,38,
25,2,BP_T02,Transect,0,29,1,27.240084,7698,7933,28002.55534,28999.42217,20240602, 21:13:48.3950,20240602, 21:17:43.3950,45.24604892,-64.68951856,45.24276159,-64.70131731,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,0,38,
26,2,BP_T02,Transect,0,30,1,27.398772,7934,8165,29003.86723,29999.52649,20240602, 21:17:44.3960,20240602, 21:21:35.4060,45.24274727,-64.70137017,45.23951706,-64.7131879,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,0,38,
27,2,BP_T02,Transect,0,31,1,27.189931,8166,8198,30003.88386,30147.93963,20240602, 21:21:36.3960,20240602, 21:22:08.3930,45.23950644,-64.71324131,45.23903165,-64.71494377,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,0,38,
28,3,BP_T03,Transect,0,33,1,30.858612,8731,8783,32694.99939,32997.05454,20240602, 21:31:01.3950,20240602, 21:31:53.3950,45.25377356,-64.734911,45.25464093,-64.73128199,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,1.55392E-07,38,
29,3,BP_T03,Transect,0,34,1,30.372558,8784,8983,33002.50377,33999.73498,20240602, 21:31:54.3950,20240602, 21:35:13.3950,45.25465497,-64.73121549,45.25796981,-64.71941705,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,2.37824E-08,38,
30,3,BP_T03,Transect,0,35,1,29.393954,8984,9214,34004.26895,34996.47284,20240602, 21:35:14.3960,20240602, 21:39:04.3950,45.25798812,-64.71936544,45.26162688,-64.70783526,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,7.86285E-09,38,
31,3,BP_T03,Transect,0,36,1,29.136651,9215,9447,35000.6916,35997.65344,20240602, 21:39:05.3950,20240602, 21:42:57.3950,45.26163925,-64.70778446,45.26500315,-64.6960211,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,0,38,
32,3,BP_T03,Transect,0,37,1,31.802057,9448,9677,36002.0317,36998.31225,20240602, 21:42:58.3960,20240602, 21:46:47.3970,45.26502072,-64.69597118,45.26844255,-64.68425401,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,0,38,
33,3,BP_T03,Transect,0,38,1,29.667219,9678,9906,37002.6,37998.88077,20240602, 21:46:48.3950,20240602, 21:50:36.3950,45.2684584,-64.68420421,45.27182735,-64.67245128,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,0,38,
34,3,BP_T03,Transect,0,39,1,31.172457,9907,10135,38003.21101,38998.59556,20240602, 21:50:37.3950,20240602, 21:54:25.3950,45.27184399,-64.67240138,45.27527023,-64.66070369,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,0,38,
35,3,BP_T03,Transect,0,40,1,36.221251,10136,10360,39003.11821,39999.5046,20240602, 21:54:26.3950,20240602, 21:58:10.3950,45.27528261,-64.6606488,45.27867517,-64.64892617,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,0,38,
36,3,BP_T03,Transect,0,41,1,40.676,10361,10586,40003.85127,40998.41097,20240602, 21:58:11.4060,20240602, 22:01:56.3950,45.27868932,-64.64887461,45.2820609,-64.63715141,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,0,38,
37,3,BP_T03,Transect,0,42,1,36.343179,10587,10806,41002.90503,41995.70197,20240602, 22:01:57.3950,20240602, 22:05:36.3950,45.28207505,-64.63709777,45.285344,-64.62533485,14.0.213.0,20240611, 11:21:11.3450,BP_Jun02_2024,0,38,
