Vessel,Transect.No.,Date.Time.Start,Date.Time.End,Start.Lon,Start.Lat,End.Lon,End.Lat,Dist..km.,Type,Start Lat,Start Lon,End Lat,End Lon,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
C1,T02,2024-06-02,2024-06-03,-65.22231676,45.09761591,-64.75144193,45.25359996,42.45900881,Actual,NA,NA,NA,NA,3,SB,42.45900881,2024-06-02T03:00:00Z,2024-06-03T03:00:00Z,5184000,2.653469640085854e-4,2024,2024-06-02
C1,T01,2024-06-02,2024-06-02,-64.83836829,45.30721251,-65.23093606,45.16728844,36.48088614,Actual,NA,NA,NA,NA,3,SB,36.48088614,2024-06-02T03:00:00Z,2024-06-02T03:00:00Z,0,Inf,2024,2024-06-02
FM,T01,2024-06-02,2024-06-02,-65.22996719,45.03742715,-64.68772545,45.21440984,47.15075646,Actual,NA,NA,NA,NA,3,SB,47.15075646,2024-06-02T03:00:00Z,2024-06-02T03:00:00Z,0,Inf,2024,2024-06-02
FM,T02,2024-06-03,2024-06-03,-64.76740235,45.26910815,-65.21910515,45.11549264,39.63861432,Actual,NA,NA,NA,NA,3,SB,39.63861432,2024-06-03T03:00:00Z,2024-06-03T03:00:00Z,0,Inf,2024,2024-06-03
LM,T01,2024-06-02,2024-06-02,-65.22871563,45.05630726,-64.70170332,45.2299518,46.01410058,Actual,NA,NA,NA,NA,3,SB,46.01410058,2024-06-02T03:00:00Z,2024-06-02T03:00:00Z,0,Inf,2024,2024-06-02
LM,T02,2024-06-02,2024-06-03,-64.78779858,45.28297209,-65.23394073,45.12860809,39.28078476,Actual,NA,NA,NA,NA,3,SB,39.28078476,2024-06-02T03:00:00Z,2024-06-03T03:00:00Z,5184000,2.45484698585e-4,2024,2024-06-02
MS,T01,2024-06-02,2024-06-02,-64.7292943,45.24094149,-65.23196436,45.07406084,45.0887525,Actual,NA,NA,NA,NA,3,SB,45.0887525,2024-06-02T03:00:00Z,2024-06-02T03:00:00Z,0,Inf,2024,2024-06-02
MS,T02,2024-06-02,2024-06-03,-65.23221919,45.14873125,-64.81691724,45.29365603,39.04036204,Actual,NA,NA,NA,NA,3,SB,39.04036204,2024-06-02T03:00:00Z,2024-06-03T03:00:00Z,5184000,2.4398218025923867e-4,2024,2024-06-02
LJ,T01,2024-06-02,2024-06-02,-65.05081429,45.28887254,-64.8835537,45.33993872,14.372286,Actual,NA,NA,NA,NA,3,SB,14.372286,2024-06-02T03:00:00Z,2024-06-02T03:00:00Z,0,Inf,2024,2024-06-02
LJ,T02,2024-06-02,2024-06-02,-64.86742624,45.33178962,-65.05060083,45.2757815,15.7005455,Actual,NA,NA,NA,NA,3,SB,15.7005455,2024-06-02T03:00:00Z,2024-06-02T03:00:00Z,0,Inf,2024,2024-06-02
LJ,T03,2024-06-02,2024-06-02,-65.04882056,45.26285294,-64.84440581,45.32588167,17.5304313,Actual,NA,NA,NA,NA,3,SB,17.5304313,2024-06-02T03:00:00Z,2024-06-02T03:00:00Z,0,Inf,2024,2024-06-02
LJ,T04,2024-06-02,2024-06-03,-64.83501062,45.31591099,-65.05107138,45.24971361,18.5094167,Actual,NA,NA,NA,NA,3,SB,18.5094167,2024-06-02T03:00:00Z,2024-06-03T03:00:00Z,5184000,1.1567433307011316e-4,2024,2024-06-02
BP,T01,2024-06-02,2024-06-02,-64.68671915,45.22568879,-64.55102205,45.26355467,11.46787448,Actual,NA,NA,NA,NA,3,SB,11.46787448,2024-06-02T03:00:00Z,2024-06-02T03:00:00Z,0,Inf,2024,2024-06-02
BP,T02,2024-06-02,2024-06-02,-64.55785068,45.28270128,-64.71494377,45.23903165,13.26896208,Actual,NA,NA,NA,NA,3,SB,13.26896208,2024-06-02T03:00:00Z,2024-06-02T03:00:00Z,0,Inf,2024,2024-06-02
BP,T03,2024-06-02,2024-06-02,-64.734911,45.25377356,-64.54912679,45.30791682,15.78940365,Actual,NA,NA,NA,NA,3,SB,15.78940365,2024-06-02T03:00:00Z,2024-06-02T03:00:00Z,0,Inf,2024,2024-06-02
BP,T04,2024-06-02,2024-06-02,-64.55302197,45.32849072,-64.75843578,45.26810457,17.46512421,Actual,NA,NA,NA,NA,3,SB,17.46512421,2024-06-02T03:00:00Z,2024-06-02T03:00:00Z,0,Inf,2024,2024-06-02
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.05498333,-65.23333333,45.23701667,-64.71043333,3,SB,NA,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.0709381,-65.23333333,45.24768095,-64.7268,3,SB,NA,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.08689286,-65.23333333,45.25834524,-64.74316667,3,SB,NA,NA,NA,NA,NA,NA,NA
C1,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.10284762,-65.23333333,45.26900952,-64.75953333,3,SB,NA,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.11880238,-65.23333333,45.27967381,-64.7759,3,SB,NA,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.13475714,-65.23333333,45.2903381,-64.79226667,3,SB,NA,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.1507119,-65.23333333,45.30100238,-64.80863333,3,SB,NA,NA,NA,NA,NA,NA,NA
C1,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.16666667,-65.23333333,45.31166667,-64.825,3,SB,NA,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.22458333,-64.69133333,45.26375,-64.55,3,SB,NA,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.23927778,-64.71327778,45.28527778,-64.55,3,SB,NA,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.25397222,-64.73522222,45.30680556,-64.55,3,SB,NA,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.26866667,-64.75716667,45.32833333,-64.55,3,SB,NA,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,NA,NA,NA,NA,NA,Plan,45.25,-65.05,45.31666667,-64.83333333,3,SB,NA,NA,NA,NA,NA,NA,NA
