Vessel,Start Lat,Start Lon,End Lat,End Lon
BP,4513.475,6441.480,4515.825,6433.000
BP,4514.357,6442.797,4517.117,6433.000
BP,4515.238,6444.113,4518.408,6433.000
BP,4516.120,6445.430,4519.700,6433.000
C1,4506.171,6514.000,4516.141,6445.572
C1,4510.000,6514.000,4518.700,6449.500
FM,4504.256,6514.000,4514.861,6443.608
FM,4508.085,6514.000,4517.420,6447.536
LJ,4515.000,6503.000,4519.000,6450.000
LJ,4515.783,6503.000,4519.467,6451.000
LJ,4516.567,6503.000,4519.933,6452.000
LJ,4517.350,6503.000,4520.400,6453.000
LM,4503.299,6514.000,4514.221,6442.626
LM,4507.128,6514.000,4516.780,6446.554
MS,4505.214,6514.000,4515.501,6444.590
MS,4509.043,6514.000,4518.060,6448.518
