Vessel,Transect No.,Date Time Start,Date Time End,Start Lon,Start Lat,End Lon,End Lat,Dist (km)
BP,T01,2024-06-16 19:38:58.417999,2024-06-16 22:30:01.417,-65.23311318,45.07316702,-64.72738223,45.23958664,43.90322088
BP,T02,2024-06-16 22:51:36.418999,2024-06-17 00:59:58.417999,-64.79365742,45.28660609,-65.22666357,45.13684372,37.91334468
FM,T01,2024-06-16 20:56:41.380997,2024-06-16 23:39:36.380997,-65.22579794,45.08904281,-64.74285374,45.25188315,42.248643235
FM,T02,2024-06-17 00:02:00.380997,2024-06-17 02:09:42.378998,-64.81156108,45.29700754,-65.23403763,45.15041301,37.1749069
LJ,T01,2024-06-16 19:44:54.091003,2024-06-16 22:47:44.091003,-65.23475479,45.05441408,-64.70254363,45.22947108,46.343648975
LJ,T02,2024-06-16 23:11:15.091003,2024-06-17 01:36:56.089996,-64.77530071,45.27595697,-65.2343261,45.11854853,40.11442272
LM,T01,2024-06-16 19:35:31.398003,2024-06-16 22:24:07.388,-65.23907251,45.09998984,-64.75558538,45.265269,42.573570537
LM,T02,2024-06-16 22:44:49.387001,2024-06-17 00:57:39.387001,-64.82665046,45.30943511,-65.23083747,45.16674307,36.1414153
LB,T01,2024-06-16 19:43:48.114998,2024-06-16 20:40:34.115997,-65.04845379,45.28951102,-64.88358167,45.33985,14.217904511
LB,T02,2024-06-16 20:47:23.114998,2024-06-16 21:48:06.115997,-64.86659901,45.33178477,-65.05000833,45.27607667,15.74285363
LB,T03,2024-06-16 21:57:35.115997,2024-06-16 23:05:18.115997,-65.04308744,45.26475111,-64.84936075,45.32458241,16.8055459
LB,T04,2024-06-16 23:12:28.114998,2024-06-17 00:21:36.126999,-64.83425333,45.3155,-65.05081131,45.24972099,18.60688231
C1,T01,2024-06-16 19:51:53.648003,2024-06-16 20:44:28.649002,-64.70495169,45.22172636,-64.55523938,45.26373198,13.035344112
C1,T02,2024-06-16 20:52:23.648003,2024-06-16 21:47:09.648003,-64.55138295,45.28518195,-64.71250657,45.2394315,13.9803959
C1,T03,2024-06-16 21:55:57.649002,2024-06-16 22:58:22.658997,-64.73267345,45.25578176,-64.55388096,45.30429862,15.48469001
C1,T04,2024-06-16 23:12:04.648003,2024-06-17 00:22:28.648003,-64.55301841,45.32686685,-64.7707211,45.26660753,18.76743175
