Vessel,Start Lat,Start Lon,End Lat,End Lon
LM,4503.298857,6514,4513.791143,6442.097714
BP,4504.639086,6514,4514.772914,6443.578171
LB,4505.979314,6514,4515.754686,6445.058629
LM,4507.319543,6514,4516.736457,6446.539086
BP,4508.659771,6514,4517.718229,6448.019543
LB,4510,6514,4518.7,6449.5
FM,4513.475,6441.48,4515.825,6433
FM,4514.356667,6442.796667,4517.116667,6433
FM,4515.238333,6444.113333,4518.408333,6433
FM,4516.12,6445.43,4519.7,6433
C1,4515,6503,4519,6450
C1,4515.783,6503,4519.467,6451
C1,4516.567,6503,4519.933,6452
C1,4517.35,6503,4520.4,6453
