Vessel,Transect.No.,Date.Time.Start,Date.Time.End,X,Y,Xend,Yend,Dist..km.,Type,Start.Lat,Start.Lon,End.Lat,End.Lon,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
FM,T01,2025-08-04T21:49:10Z,2025-08-05T00:14:00Z,-66.46545514,43.57313847,-66.46434091,43.2349712,38.925781193,Actual,NA,NA,NA,NA,1,GB,38.925781193,2025-08-04T21:49:10Z,2025-08-05T00:14:00Z,144.83333333333331,8.707191083337298,2025,2025-08-04
FM,T02,2025-08-05T00:48:14Z,2025-08-05T03:09:40Z,-66.32401116,43.23548869,-66.32058852,43.56529033,37.73846842,Actual,NA,NA,NA,NA,1,GB,37.73846842,2025-08-05T00:48:14Z,2025-08-05T03:09:40Z,141.43333333333334,8.644537409089418,2025,2025-08-05
LB,T01,2025-08-04T20:32:49Z,2025-08-04T22:56:19Z,-66.43691534,43.56681878,-66.43694171,43.23354419,38.140954458,Actual,NA,NA,NA,NA,1,GB,38.140954458,2025-08-04T20:32:49Z,2025-08-04T22:56:19Z,143.5,8.610907423186843,2025,2025-08-04
LB,T02,2025-08-04T23:36:19Z,2025-08-05T02:11:20Z,-66.29645981,43.23343512,-66.29617716,43.5650225,37.97299891,Actual,NA,NA,NA,NA,1,GB,37.97299891,2025-08-04T23:36:19Z,2025-08-05T02:11:20Z,155.01666666666668,7.936075067327642,2025,2025-08-04
LJ,T01,2025-08-04T20:55:31Z,2025-08-04T23:20:35Z,-66.40880643,43.56804732,-66.40868707,43.23375063,37.190438204,Actual,NA,NA,NA,NA,1,GB,37.190438204,2025-08-04T20:55:31Z,2025-08-04T23:20:35Z,145.06666666666666,8.305636649639634,2025,2025-08-04
LJ,T02,2025-08-04T23:56:24Z,2025-08-05T02:20:51Z,-66.2677407,43.23319457,-66.26802605,43.56483904,36.8956271,Actual,NA,NA,NA,NA,1,GB,36.8956271,2025-08-04T23:56:24Z,2025-08-05T02:20:51Z,144.45000000000002,8.274973552793814,2025,2025-08-04
LM,T01,2025-08-04T20:56:45Z,2025-08-04T23:16:31Z,-66.380465,43.56598333,-66.38022625,43.23448522,37.58642814,Actual,NA,NA,NA,NA,1,GB,37.58642814,2025-08-04T20:56:45Z,2025-08-04T23:16:31Z,139.76666666666665,8.712378067691105,2025,2025-08-04
LM,T02,2025-08-04T23:51:18Z,2025-08-05T02:17:21Z,-66.23492463,43.23310566,-66.23967326,43.56641839,37.68273316,Actual,NA,NA,NA,NA,1,GB,37.68273316,2025-08-04T23:51:18Z,2025-08-05T02:17:21Z,146.04999999999998,8.358918638107316,2025,2025-08-04
MS,T01,2025-08-04T20:38:38Z,2025-08-04T23:01:50Z,-66.49419998,43.56580169,-66.49333942,43.23314325,39.263321264,Actual,NA,NA,NA,NA,1,GB,39.263321264,2025-08-04T20:38:38Z,2025-08-04T23:01:50Z,143.2,8.882869460639405,2025,2025-08-04
MS,T02,2025-08-04T23:41:16Z,2025-08-05T02:11:59Z,-66.35233876,43.23637162,-66.35257939,43.56543467,39.10061475,Actual,NA,NA,NA,NA,1,GB,39.10061475,2025-08-04T23:41:16Z,2025-08-05T02:11:59Z,150.71666666666667,8.404881010244388,2025,2025-08-04
FM,T03,2025-08-05T03:42:14Z,2025-08-05T05:30:16Z,-66.21922432,43.50281898,-66.21859239,43.25074815,29.1773296,Actual,NA,NA,NA,NA,1,GB,29.1773296,2025-08-05T03:42:14Z,2025-08-05T05:30:16Z,108.03333333333333,8.749777903373035,2025,2025-08-05
FM,T04,2025-08-05T05:52:31Z,2025-08-05T07:36:35Z,-66.15983325,43.25044484,-66.16389081,43.49782301,28.3859822,Actual,NA,NA,NA,NA,1,GB,28.3859822,2025-08-05T05:52:31Z,2025-08-05T07:36:35Z,104.06666666666666,8.836932677714286,2025,2025-08-05
LB,T03,2025-08-05T02:46:16Z,2025-08-05T04:37:56Z,-66.20721205,43.5015672,-66.20674128,43.24788893,29.1161649,Actual,NA,NA,NA,NA,1,GB,29.1161649,2025-08-05T02:46:16Z,2025-08-05T04:37:56Z,111.66666666666667,8.447338205853136,2025,2025-08-05
LB,T04,2025-08-05T04:58:59Z,2025-08-05T06:40:13Z,-66.14796312,43.24966085,-66.15005485,43.50697546,29.2189512,Actual,NA,NA,NA,NA,1,GB,29.2189512,2025-08-05T04:58:59Z,2025-08-05T06:40:13Z,101.23333333333333,9.35083406332038,2025,2025-08-05
LJ,T03,2025-08-05T02:51:01Z,2025-08-05T04:40:56Z,-66.19500392,43.50262047,-66.19484247,43.24708898,28.41825676,Actual,NA,NA,NA,NA,1,GB,28.41825676,2025-08-05T02:51:01Z,2025-08-05T04:40:56Z,109.91666666666666,8.37612497655169,2025,2025-08-05
LJ,T04,2025-08-05T05:00:19Z,2025-08-05T06:46:58Z,-66.13694995,43.24950903,-66.13642228,43.50485416,28.4332764,Actual,NA,NA,NA,NA,1,GB,28.4332764,2025-08-05T05:00:19Z,2025-08-05T06:46:58Z,106.65,8.637246444346928,2025,2025-08-05
LM,T03,2025-08-05T02:43:35Z,2025-08-05T04:36:31Z,-66.18357218,43.50097164,-66.18382944,43.24797526,28.68439716,Actual,NA,NA,NA,NA,1,GB,28.68439716,2025-08-05T02:43:35Z,2025-08-05T04:36:31Z,112.93333333333334,8.228730604411806,2025,2025-08-05
LM,T04,2025-08-05T04:54:12Z,2025-08-05T06:40:15Z,-66.12652205,43.24668528,-66.12484333,43.50268793,28.9850003,Actual,NA,NA,NA,NA,1,GB,28.9850003,2025-08-05T04:54:12Z,2025-08-05T06:40:15Z,106.05000000000001,8.854660220517365,2025,2025-08-05
MS,T03,2025-08-05T02:52:56Z,2025-08-05T04:42:59Z,-66.22904033,43.50129803,-66.2300209,43.24851835,29.6571417,Actual,NA,NA,NA,NA,1,GB,29.6571417,2025-08-05T02:52:56Z,2025-08-05T04:42:59Z,110.05,8.73068882661336,2025,2025-08-05
MS,T04,2025-08-05T05:04:55Z,2025-08-05T06:39:46Z,-66.17154376,43.25008007,-66.17166667,43.48739017,27.7047138,Actual,NA,NA,NA,NA,1,GB,27.7047138,2025-08-05T05:04:55Z,2025-08-05T06:39:46Z,94.85,9.462929339833423,2025,2025-08-05
MS,NA,NA,NA,NA,NA,NA,NA,NA,Plan,43.56666667,-66.49333333,43.23333333,-66.49333333,1,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,43.56666667,-66.46518519,43.23333333,-66.46518519,1,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
LB,NA,NA,NA,NA,NA,NA,NA,NA,Plan,43.56666667,-66.43703704,43.23333333,-66.43703704,1,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,NA,NA,NA,NA,NA,Plan,43.56666667,-66.40888889,43.23333333,-66.40888889,1,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,43.56666667,-66.38074074,43.23333333,-66.38074074,1,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,NA,NA,NA,NA,NA,Plan,43.56666667,-66.35259259,43.23333333,-66.35259259,1,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,43.56666667,-66.32444444,43.23333333,-66.32444444,1,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
LB,NA,NA,NA,NA,NA,NA,NA,NA,Plan,43.56666667,-66.2962963,43.23333333,-66.2962963,1,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,NA,NA,NA,NA,NA,Plan,43.56666667,-66.26814815,43.23333333,-66.26814815,1,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,43.56666667,-66.24,43.23333333,-66.24,1,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,NA,NA,NA,NA,NA,Plan,43.502,-66.23,43.2475,-66.23,1,GB,28.330810406888627,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,43.502,-66.21833333,43.2475,-66.21833333,1,GB,28.330810406888627,NA,NA,NA,NA,NA,NA
LB,NA,NA,NA,NA,NA,NA,NA,NA,Plan,43.502,-66.20666667,43.2475,-66.20666667,1,GB,28.330810406888627,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,NA,NA,NA,NA,NA,Plan,43.502,-66.195,43.2475,-66.195,1,GB,28.330810406888627,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,43.502,-66.18333333,43.2475,-66.18333333,1,GB,28.330810406888627,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,NA,NA,NA,NA,NA,Plan,43.502,-66.17166667,43.2475,-66.17166667,1,GB,28.330810406888627,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,43.502,-66.16,43.2475,-66.16,1,GB,28.330810406888627,NA,NA,NA,NA,NA,NA
LB,NA,NA,NA,NA,NA,NA,NA,NA,Plan,43.502,-66.14833333,43.2475,-66.14833333,1,GB,28.330810406888627,NA,NA,NA,NA,NA,NA
LJ,NA,NA,NA,NA,NA,NA,NA,NA,Plan,43.502,-66.13666667,43.2475,-66.13666667,1,GB,28.330810406888627,NA,NA,NA,NA,NA,NA
LM,NA,NA,NA,NA,NA,NA,NA,NA,Plan,43.502,-66.125,43.2475,-66.125,1,GB,28.330810406888627,NA,NA,NA,NA,NA,NA
