Vessel,Transect.No.,Date.Time.Start,Date.Time.End,Start.Lon,Start.Lat,End.Lon,End.Lat,Dist..km.,Type,id,Y,X,Yend,Xend,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
BP,T01,2025-05-06T21:36:05Z,2025-05-06T22:05:06Z,-64.76433801,45.2699333,-64.68406656,45.29212792,6.83606289999999,Actual,NA,NA,NA,NA,NA,1,SB,6.83606289999999,2025-05-06T21:36:05Z,2025-05-06T22:05:06Z,1741,7.632517235804698,2025,2025-05-06
BP,T02,2025-05-06T22:10:07Z,2025-05-06T22:34:13Z,-64.69336658,45.30158125,-64.7711931,45.27948338,6.65351940000002,Actual,NA,NA,NA,NA,NA,1,SB,6.65351940000002,2025-05-06T22:10:07Z,2025-05-06T22:34:13Z,1446,8.94424422579256,2025,2025-05-06
BP,T03,2025-05-06T22:56:58Z,2025-05-06T23:32:23Z,-64.77947562,45.28286003,-64.69800007,45.30604934,6.94467610000001,Actual,NA,NA,NA,NA,NA,1,SB,6.94467610000001,2025-05-06T22:56:58Z,2025-05-06T23:32:23Z,2125,6.352630207164245,2025,2025-05-06
C1,T01,2025-05-06T20:40:17Z,2025-05-06T22:09:58Z,-65.04662694,45.23266909,-64.8074856,45.31933244,22.28549322,Actual,NA,NA,NA,NA,NA,1,SB,22.28549322,2025-05-06T20:40:17Z,2025-05-06T22:09:58Z,5381,8.050442880647612,2025,2025-05-06
C1,T02,2025-05-06T22:34:39Z,2025-05-06T23:33:47Z,-64.87397113,45.34162203,-65.04879709,45.28906638,15.40651976,Actual,NA,NA,NA,NA,NA,1,SB,15.40651976,2025-05-06T22:34:39Z,2025-05-06T23:33:47Z,3548,8.440757996132582,2025,2025-05-06
C1,T03,2025-05-06T23:40:48Z,2025-05-07T00:45:16Z,-65.04881239,45.27548181,-64.85826552,45.33317487,16.80413962,Actual,NA,NA,NA,NA,NA,1,SB,16.80413962,2025-05-06T23:40:48Z,2025-05-07T00:45:16Z,3868,8.44481870706846,2025,2025-05-06
C1,T04,2025-05-07T00:54:49Z,2025-05-07T02:11:57Z,-64.83388023,45.32097687,-65.04803499,45.24974501,19.57448512,Actual,NA,NA,NA,NA,NA,1,SB,19.57448512,2025-05-07T00:54:49Z,2025-05-07T02:11:57Z,4628,8.221622116607778,2025,2025-05-07
C1,T05,2025-05-07T02:17:59Z,2025-05-07T03:25:00Z,-65.04906836,45.26321307,-64.85034109,45.324125,17.4636347,Actual,NA,NA,NA,NA,NA,1,SB,17.4636347,2025-05-07T02:17:59Z,2025-05-07T03:25:00Z,4021,8.442305813292215,2025,2025-05-07
LM,T03,2025-05-07T00:07:00Z,2025-05-07T02:44:31Z,-65.23109399,45.1225689,-64.76860588,45.27826015,40.56703729,Actual,NA,NA,NA,NA,NA,1,SB,40.56703729,2025-05-07T00:07:00Z,2025-05-07T02:44:31Z,9451,8.343649324494086,2025,2025-05-07
LM,T02,2025-05-06T21:34:06Z,2025-05-06T23:59:57Z,-64.79100141,45.28857007,-65.23395457,45.13626974,38.89335813,Actual,NA,NA,NA,NA,NA,1,SB,38.89335813,2025-05-06T21:34:06Z,2025-05-06T23:59:57Z,8751,8.639294396916831,2025,2025-05-06
