Vessel,Start Lat,Start Lon,End Lat,End Lon
MS,45.03636667,-65.23333333,45.21621667,-64.68106667
MS,45.21621667,-64.68106667,45.26375,-64.55
MS,45.22985238,-64.70162857,45.28527778,-64.55
MS,45.05498095,-65.23333333,45.22985238,-64.70162857
BP,45.07359524,-65.23333333,45.2434881,-64.72219048
BP,45.2434881,-64.72219048,45.30680556,-64.55
BP,45.25712381,-64.74275238,45.32833333,-64.55
BP,45.09220952,-65.23333333,45.25712381,-64.74275238
FM,45.11082381,-65.23333333,45.27075952,-64.76331429
FM,45.1294381,-65.23333333,45.28439524,-64.78387619
FM,45.14805238,-65.23333333,45.29803095,-64.8044381
LM,45.16666667,-65.23333333,45.31166667,-64.825
LM,45.25,-65.05,45.31666667,-64.83333333
LM,45.26305,-65.05,45.32445,-64.85
LM,45.27611667,-65.05,45.33221667,-64.86666667
LM,45.28916667,-65.05,45.34,-64.88333333
