id,Vessel,Y,X,Yend ,Xend
1,C1,45.09001961,-65.23333333,45.25551961,-64.74033333
2,C1,45.10534902,-65.23333333,45.26674902,-64.75726667
1,BP,45.12067843,-65.23333333,45.27797843,-64.7742
2,BP,45.13600784,-65.23333333,45.28920784,-64.79113333
3,BP,45.15133725,-65.23333333,45.30043725,-64.80806667
1,LM,45.16666667,-65.23333333,45.31166667,-64.825
2,LM,45.25,-65.05,45.31666667,-64.83333333
3,LM,45.26305,-65.05,45.32445,-64.85
4,LM,45.27611667,-65.05,45.33221667,-64.86666667
5,LM,45.28916667,-65.05,45.34,-64.88333333
3,C1,45.254,-64.735,45.307,-64.55
4,C1,45.269,-64.757,45.328,-64.55
