Vessel,Transect.No.,Date.Time.Start,Date.Time.End,X,Y,Xend,Yend,Dist..km.,Type,Start.Lat,Start.Lon,End.Lat,End.Lon,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
BP,T01,2025-06-30T19:38:24Z,2025-06-30T22:34:00Z,-65.21399422,45.04143383,-64.67983498,45.21644928,46.375466322,Actual,NA,NA,NA,NA,5,SB,46.375466322,2025-06-30T19:38:24Z,2025-06-30T22:34:00Z,10536,8.55604465217886,2025,2025-06-30
BP,T02,2025-06-30T23:04:17Z,2025-07-01T01:38:59Z,-64.76031785,45.26837639,-65.22792229,45.11014196,40.8535154,Actual,NA,NA,NA,NA,5,SB,40.8535154,2025-06-30T23:04:17Z,2025-07-01T01:38:59Z,9282,8.555558863944839,2025,2025-06-30
C1,T01,2025-06-30T19:50:51Z,2025-06-30T22:50:54Z,-65.24604,45.06302667,-64.71358884,45.23685201,47.4012753,Actual,NA,NA,NA,NA,5,SB,47.4012753,2025-06-30T19:50:51Z,2025-06-30T22:50:54Z,10803,8.529158102300473,2025,2025-06-30
C1,T02,2025-06-30T23:17:55Z,2025-07-01T01:50:33Z,-64.79415344,45.28915833,-65.23360602,45.13806799,39.5931268,Actual,NA,NA,NA,NA,5,SB,39.5931268,2025-06-30T23:17:55Z,2025-07-01T01:50:33Z,9158,8.403876785205503,2025,2025-06-30
FM,T01,2025-06-30T20:57:32Z,2025-06-30T21:49:50Z,-64.69637276,45.22352514,-64.55083514,45.2636956,12.38271372,Actual,NA,NA,NA,NA,5,SB,12.38271372,2025-06-30T20:57:32Z,2025-06-30T21:49:50Z,3138,7.670495295565583,2025,2025-06-30
FM,T02,2025-06-30T21:57:38Z,2025-06-30T22:48:58Z,-64.55083979,45.28488245,-64.71185192,45.23972488,13.65886297,Actual,NA,NA,NA,NA,5,SB,13.65886297,2025-06-30T21:57:38Z,2025-06-30T22:48:58Z,3080,8.620339024547013,2025,2025-06-30
FM,T03,2025-06-30T22:57:34Z,2025-06-30T23:59:12Z,-64.73409077,45.25409593,-64.55256678,45.3062672,15.48422303,Actual,NA,NA,NA,NA,5,SB,15.48422303,2025-06-30T22:57:34Z,2025-06-30T23:59:12Z,3698,8.13922447123721,2025,2025-06-30
FM,T04,2025-07-01T00:07:22Z,2025-07-01T01:15:39Z,-64.55053627,45.32837872,-64.75803239,45.26840912,17.66899444,Actual,NA,NA,NA,NA,5,SB,17.66899444,2025-07-01T00:07:22Z,2025-07-01T01:15:39Z,4097,8.383133549487331,2025,2025-07-01
LB,T01,2025-06-30T19:37:32Z,2025-06-30T23:06:49Z,-65.24456833,45.07772,-64.72917354,45.24831559,45.411940454,Actual,NA,NA,NA,NA,5,SB,45.411940454,2025-06-30T19:37:32Z,2025-06-30T23:06:49Z,12557,7.029827692291421,2025,2025-06-30
LB,T02,2025-06-30T23:47:00Z,2025-07-01T02:35:27Z,-64.80948242,45.30109916,-65.23467319,45.1504974,37.95111441,Actual,NA,NA,NA,NA,5,SB,37.95111441,2025-06-30T23:47:00Z,2025-07-01T02:35:27Z,10107,7.298990228033482,2025,2025-06-30
