Vessel,Start.Lat,Start.Lon,End.Lat,End.Lon
BP,45.03636667,-65.23333333,45.21621667,-64.68106667
LM,45.05084444,-65.23333333,45.22682222,-64.69705926
C1,45.06532222,-65.23333333,45.23742778,-64.71305185
LB,45.0798,-65.23333333,45.24803333,-64.72904444
LJ,45.09427778,-65.23333333,45.25863889,-64.74503704
BP,45.10875556,-65.23333333,45.26924444,-64.76102963
LM,45.12323333,-65.23333333,45.27985,-64.77702222
C1,45.13771111,-65.23333333,45.29045556,-64.79301481
LB,45.15218889,-65.23333333,45.30106111,-64.80900741
LJ,45.16666667,-65.23333333,45.31166667,-64.825
MS,45.25,-65.05,45.31666667,-64.83333333
MS,45.26305,-65.05,45.32445,-64.85
MS,45.27611667,-65.05,45.33221667,-64.86666667
MS,45.28916667,-65.05,45.34,-64.88333333
FM,45.22458333,-64.69133333,45.26375,-64.55
FM,45.23927778,-64.71327778,45.28527778,-64.55
FM,45.25397222,-64.73522222,45.30680556,-64.55
FM,45.26866667,-64.75716667,45.32833333,-64.55
