Vessel,Transect.No.,Date.Time.Start,Date.Time.End,X,Y,Xend,Yend,Dist..km.,Type,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
BP,T01,2026-08-24T19:49:19Z,2026-08-24T22:18:39Z,-66.43560084,43.56456092,-66.43487757,43.2332272,36.896251704,Actual,2,GB,36.896251704,2026-08-24T19:49:19Z,2026-08-24T22:18:39Z,149.33333333333334,8.004510034855286,2026,2026-08-24
BP,T02,2026-08-24T22:56:16Z,2026-08-25T01:27:48Z,-66.29884797,43.22996435,-66.2986634,43.56360504,37.17979145,Actual,2,GB,37.17979145,2026-08-24T22:56:16Z,2026-08-25T01:27:48Z,151.53333333333333,7.948918369134185,2026,2026-08-24
FM,T01,2026-08-24T21:08:53Z,2026-08-24T23:35:55Z,-66.47508113,43.56712541,-66.47090918,43.23181244,38.717062056,Actual,2,GB,38.717062056,2026-08-24T21:08:53Z,2026-08-24T23:35:55Z,147.03333333333333,8.530919735540133,2026,2026-08-24
FM,T02,2026-08-25T00:10:34Z,2026-08-25T02:37:20Z,-66.33647532,43.2350814,-66.33867599,43.56106237,37.67689667,Actual,2,GB,37.67689667,2026-08-25T00:10:34Z,2026-08-25T02:37:20Z,146.76666666666668,8.316813402567883,2026,2026-08-25
LB,T01,2026-08-24T19:55:13Z,2026-08-24T22:33:16Z,-66.37637446,43.56776213,-66.37471406,43.23238262,38.699017232,Actual,2,GB,38.699017232,2026-08-24T19:55:13Z,2026-08-24T22:33:16Z,158.05,7.932584377965926,2026,2026-08-24
LB,T02,2026-08-24T23:14:29Z,2026-08-25T01:42:35Z,-66.2408101,43.23195975,-66.23996301,43.56535004,38.04807539,Actual,2,GB,38.04807539,2026-08-24T23:14:29Z,2026-08-25T01:42:35Z,148.1,8.323134241064327,2026,2026-08-24
LJ,T01,2026-08-24T20:18:07Z,2026-08-24T22:43:22Z,-66.41539167,43.56764,-66.41555026,43.23620263,36.87504238,Actual,2,GB,36.87504238,2026-08-24T20:18:07Z,2026-08-24T22:43:22Z,145.25,8.224805780830659,2026,2026-08-24
LJ,T02,2026-08-24T23:21:30Z,2026-08-25T01:41:11Z,-66.2789067,43.23351129,-66.27871478,43.5617257,36.52382501,Actual,2,GB,36.52382501,2026-08-24T23:21:30Z,2026-08-25T01:41:11Z,139.68333333333334,8.47112182405899,2026,2026-08-24
LM,T01,2026-08-24T20:19:03Z,2026-08-24T22:44:59Z,-66.396988,43.56434966,-66.39571471,43.23402185,37.505404724,Actual,2,GB,37.505404724,2026-08-24T20:19:03Z,2026-08-24T22:44:59Z,145.93333333333334,8.326234115886267,2026,2026-08-24
LM,T02,2026-08-24T23:19:15Z,2026-08-25T01:42:36Z,-66.259725,43.23458024,-66.25951682,43.56625943,37.34429279,Actual,2,GB,37.34429279,2026-08-24T23:19:15Z,2026-08-25T01:42:36Z,143.35,8.439870956506638,2026,2026-08-24
MS,T01,2026-08-24T21:10:42Z,2026-08-24T23:30:15Z,-66.45387724,43.56663899,-66.45346495,43.23670525,38.986077728,Actual,2,GB,38.986077728,2026-08-24T21:10:42Z,2026-08-24T23:30:15Z,139.54999999999998,9.05084167333041,2026,2026-08-24
MS,T02,2026-08-25T00:07:38Z,2026-08-25T02:37:41Z,-66.31731535,43.23393508,-66.31863167,43.56691986,39.8297865,Actual,2,GB,39.8297865,2026-08-25T00:07:38Z,2026-08-25T02:37:41Z,150.05,8.599659245824723,2026,2026-08-25
TM,T01,2026-08-24T19:52:28Z,2026-08-24T22:30:15Z,-66.49196149,43.57721729,-66.49046168,43.23620183,38.01768973,Actual,2,GB,38.01768973,2026-08-24T19:52:28Z,2026-08-24T22:30:15Z,157.78333333333333,7.806095490098573,2026,2026-08-24
TM,T02,2026-08-24T23:05:59Z,2026-08-25T01:35:20Z,-66.35723333,43.233156,-66.3569472,43.56738797,37.22170682,Actual,2,GB,37.22170682,2026-08-24T23:05:59Z,2026-08-25T01:35:20Z,149.35,8.074215219840287,2026,2026-08-24
BP,T03,2026-08-25T02:01:52Z,2026-08-25T03:47:01Z,-66.20520543,43.50002787,-66.2057874,43.25312188,27.48941197,Actual,2,GB,27.48941197,2026-08-25T02:01:52Z,2026-08-25T03:47:01Z,105.14999999999999,8.46964947911948,2026,2026-08-25
BP,T04,2026-08-25T04:03:47Z,2026-08-25T05:39:13Z,-66.14922858,43.25175548,-66.1504026,43.50445896,28.165511,Actual,2,GB,28.165511,2026-08-25T04:03:47Z,2026-08-25T05:39:13Z,95.43333333333334,9.561517097841424,2026,2026-08-25
FM,T03,2026-08-25T03:12:25Z,2026-08-25T05:08:16Z,-66.22270549,43.50201229,-66.22204103,43.24868788,29.4451111,Actual,2,GB,29.4451111,2026-08-25T03:12:25Z,2026-08-25T05:08:16Z,115.85000000000001,8.23429503102057,2026,2026-08-25
FM,T04,2026-08-25T05:24:35Z,2026-08-25T07:10:37Z,-66.16585283,43.24737771,-66.16504706,43.50161673,29.3270257,Actual,2,GB,29.3270257,2026-08-25T05:24:35Z,2026-08-25T07:10:37Z,106.03333333333333,8.960554171123544,2026,2026-08-25
LB,T03,2026-08-25T02:12:15Z,2026-08-25T03:55:39Z,-66.18174459,43.49962427,-66.18158321,43.24810404,28.78829186,Actual,2,GB,28.78829186,2026-08-25T02:12:15Z,2026-08-25T03:55:39Z,103.4,9.019960227134495,2026,2026-08-25
LB,T04,2026-08-25T04:15:36Z,2026-08-25T05:54:28Z,-66.12505137,43.24797912,-66.12480623,43.50018276,28.781992,Actual,2,GB,28.781992,2026-08-25T04:15:36Z,2026-08-25T05:54:28Z,98.86666666666667,9.431488086527308,2026,2026-08-25
LJ,T03,2026-08-25T02:09:43Z,2026-08-25T04:01:58Z,-66.19865162,43.49892044,-66.196728,43.24644946,28.11987269,Actual,2,GB,28.11987269,2026-08-25T02:09:43Z,2026-08-25T04:01:58Z,112.25,8.115892105379302,2026,2026-08-25
LJ,T04,2026-08-25T04:17:50Z,2026-08-25T06:06:11Z,-66.14230654,43.24697183,-66.14058371,43.50338578,28.5727761,Actual,2,GB,28.5727761,2026-08-25T04:17:50Z,2026-08-25T06:06:11Z,108.35000000000001,8.54344025445685,2026,2026-08-25
LM,T03,2026-08-25T02:08:51Z,2026-08-25T03:59:17Z,-66.18995762,43.50216784,-66.18977635,43.24850487,28.71668806,Actual,2,GB,28.71668806,2026-08-25T02:08:51Z,2026-08-25T03:59:17Z,110.43333333333334,8.424486404852159,2026,2026-08-25
LM,T04,2026-08-25T04:15:27Z,2026-08-25T05:59:49Z,-66.13304152,43.24910452,-66.13312877,43.50336105,28.7532646,Actual,2,GB,28.7532646,2026-08-25T04:15:27Z,2026-08-25T05:59:49Z,104.36666666666666,8.92554229640115,2026,2026-08-25
MS,T03,2026-08-25T03:12:46Z,2026-08-25T05:09:29Z,-66.21439246,43.50319411,-66.2144972,43.24705855,30.5964226,Actual,2,GB,30.5964226,2026-08-25T03:12:46Z,2026-08-25T05:09:29Z,116.71666666666667,8.492724561871198,2026,2026-08-25
MS,T04,2026-08-25T05:28:00Z,2026-08-25T07:07:08Z,-66.15714784,43.24729975,-66.15743904,43.50312364,30.7296068,Actual,2,GB,30.7296068,2026-08-25T05:28:00Z,2026-08-25T07:07:08Z,99.13333333333334,10.042609092486884,2026,2026-08-25
TM,T03,2026-08-25T02:15:36Z,2026-08-25T04:03:20Z,-66.2296519,43.50004009,-66.23025319,43.24732832,28.1076625,Actual,2,GB,28.1076625,2026-08-25T02:15:36Z,2026-08-25T04:03:20Z,107.73333333333333,8.452475042388615,2026,2026-08-25
TM,T04,2026-08-25T04:21:59Z,2026-08-25T06:08:58Z,-66.17396693,43.24613205,-66.17292025,43.49997806,28.2708416,Actual,2,GB,28.2708416,2026-08-25T04:21:59Z,2026-08-25T06:08:58Z,106.98333333333333,8.561145464362673,2026,2026-08-25
TM,NA,NA,NA,-66.49333333,43.56666667,-66.49333333,43.23333333,NA,Plan,2,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
FM,NA,NA,NA,-66.47384615,43.56666667,-66.47384615,43.23333333,NA,Plan,2,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
MS,NA,NA,NA,-66.45435897,43.56666667,-66.45435897,43.23333333,NA,Plan,2,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
BP,NA,NA,NA,-66.43487179,43.56666667,-66.43487179,43.23333333,NA,Plan,2,GB,37.10649767322055,NA,NA,NA,NA,NA,NA
