Vessel,Start.Lat,Start.Lon,End.Lat,End.Lon
BP,4330.12,6607.5,4314.85,6607.5
TM,4330.12,6608.318519,4314.85,6608.318519
LM,4330.12,6609.137037,4314.85,6609.137037
FM,4330.12,6609.955556,4314.85,6609.955556
LJ,4330.12,6610.774074,4314.85,6610.774074
LB,4330.12,6611.592593,4314.85,6611.592593
MS,4330.12,6612.411111,4314.85,6612.411111
BP,4330.12,6613.22963,4314.85,6613.22963
TM,4334,6614.048148,4314,6614.048148
LM,4334,6614.866667,4314,6614.866667
FM,4334,6615.685185,4314,6615.685185
LJ,4334,6616.503704,4314,6616.503704
LB,4334,6617.322222,4314,6617.322222
MS,4334,6618.140741,4314,6618.140741
BP,4334,6618.959259,4314,6618.959259
TM,4334,6619.777778,4314,6619.777778
LM,4334,6620.596296,4314,6620.596296
FM,4334,6621.414815,4314,6621.414815
LJ,4334,6622.233333,4314,6622.233333
LB,4334,6623.051852,4314,6623.051852
MS,4334,6623.87037,4314,6623.87037
BP,4334,6624.688889,4314,6624.688889
TM,4334,6625.507407,4314,6625.507407
LM,4334,6626.325926,4314,6626.325926
FM,4334,6627.144444,4314,6627.144444
LJ,4334,6627.962963,4314,6627.962963
LB,4334,6628.781481,4314,6628.781481
MS,4334,6629.6,4314,6629.6
