Vessel,Start.Lat,Start.Lon,End.Lat,End.Lon
BP,43.502,-66.125,43.2475,-66.125
TM,43.502,-66.13864198,43.2475,-66.13864198
LM,43.502,-66.15228395,43.2475,-66.15228395
FM,43.502,-66.16592593,43.2475,-66.16592593
LJ,43.502,-66.1795679,43.2475,-66.1795679
LB,43.502,-66.19320988,43.2475,-66.19320988
MS,43.502,-66.20685185,43.2475,-66.20685185
BP,43.502,-66.22049383,43.2475,-66.22049383
TM,43.56666667,-66.2341358,43.23333333,-66.2341358
LM,43.56666667,-66.24777778,43.23333333,-66.24777778
FM,43.56666667,-66.26141975,43.23333333,-66.26141975
LJ,43.56666667,-66.27506173,43.23333333,-66.27506173
LB,43.56666667,-66.2887037,43.23333333,-66.2887037
MS,43.56666667,-66.30234568,43.23333333,-66.30234568
BP,43.56666667,-66.31598765,43.23333333,-66.31598765
TM,43.56666667,-66.32962963,43.23333333,-66.32962963
LM,43.56666667,-66.3432716,43.23333333,-66.3432716
FM,43.56666667,-66.35691358,43.23333333,-66.35691358
LJ,43.56666667,-66.37055556,43.23333333,-66.37055556
LB,43.56666667,-66.38419753,43.23333333,-66.38419753
MS,43.56666667,-66.39783951,43.23333333,-66.39783951
BP,43.56666667,-66.41148148,43.23333333,-66.41148148
TM,43.56666667,-66.42512346,43.23333333,-66.42512346
LM,43.56666667,-66.43876543,43.23333333,-66.43876543
FM,43.56666667,-66.45240741,43.23333333,-66.45240741
LJ,43.56666667,-66.46604938,43.23333333,-66.46604938
LB,43.56666667,-66.47969136,43.23333333,-66.47969136
MS,43.56666667,-66.49333333,43.23333333,-66.49333333
