Vessel,Start.Lat,Start.Lon,End.Lat,End.Lon
V1,4334,6629.6,4314,6629.6
V2,4334,6628.7815,4314,6628.7815
V3,4334,6627.963,4314,6627.963
V4,4334,6627.1444,4314,6627.1444
V5,4334,6626.3259,4314,6626.3259
V6,4334,6625.5074,4314,6625.5074
V7,4334,6624.6889,4314,6624.6889
V1,4334,6623.8704,4314,6623.8704
V2,4334,6623.0519,4314,6623.0519
V3,4334,6622.2333,4314,6622.2333
V4,4334,6621.4148,4314,6621.4148
V5,4334,6620.5963,4314,6620.5963
V6,4334,6619.7778,4314,6619.7778
V7,4334,6618.9593,4314,6618.9593
V1,4334,6618.1407,4314,6618.1407
V2,4334,6617.3222,4314,6617.3222
V3,4334,6616.5037,4314,6616.5037
V4,4334,6615.6852,4314,6615.6852
V5,4334,6614.8667,4314,6614.8667
V6,4334,6614.0481,4314,6614.0481
V7,4330.12,6613.2296,4314.85,6613.2296
V1,4330.12,6612.4111,4314.85,6612.4111
V2,4330.12,6611.5926,4314.85,6611.5926
V3,4330.12,6610.7741,4314.85,6610.7741
V4,4330.12,6609.9556,4314.85,6609.9556
V5,4330.12,6609.137,4314.85,6609.137
V6,4330.12,6608.3185,4314.85,6608.3185
V7,4330.12,6607.5,4314.85,6607.5
