Vessel,Start.Lat,Start.Lon,End.Lat,End.Lon
V1,4334,6614.4,4314,6614.4
V2,4334,6615.2,4314,6615.2
V3,4334,6616,4314,6616
V4,4334,6616.8,4314,6616.8
V5,4334,6617.6,4314,6617.6
V6,4334,6618.4,4314,6618.4
V7,4334,6619.2,4314,6619.2
V1,4334,6620,4314,6620
V2,4334,6620.8,4314,6620.8
V3,4334,6621.6,4314,6621.6
V4,4334,6622.4,4314,6622.4
V5,4334,6623.2,4314,6623.2
V6,4334,6624,4314,6624
V7,4334,6624.8,4314,6624.8
V7,4334,6625.6,4314,6625.6
V2,4334,6626.4,4314,6626.4
V3,4334,6627.2,4314,6627.2
V4,4334,6628,4314,6628
V5,4334,6628.8,4314,6628.8
V6,4334,6629.6,4314,6629.6
V1,4330.12,6613.8,4314.85,6613.8
V1,4330.12,6612.9,4314.85,6612.9
V2,4330.12,6612,4314.85,6612
V3,4330.12,6611.1,4314.85,6611.1
V4,4330.12,6610.2,4314.85,6610.2
V5,4330.12,6609.3,4314.85,6609.3
V6,4330.12,6608.4,4314.85,6608.4
V7,4330.12,6607.5,4314.85,6607.5
