Vessel,Start.Lat,Start.Lon,End.Lat,End.Lon
LB,43.56666667,-66.24,43.23333333,-66.24
LJ,43.56666667,-66.25333333,43.23333333,-66.25333333
FM,43.56666667,-66.26666667,43.23333333,-66.26666667
BP,43.56666667,-66.28,43.23333333,-66.28
MS,43.56666667,-66.29333333,43.23333333,-66.29333333
TM,43.56666667,-66.30666667,43.23333333,-66.30666667
LM,43.56666667,-66.32,43.23333333,-66.32
LB,43.56666667,-66.33333333,43.23333333,-66.33333333
LJ,43.56666667,-66.34666667,43.23333333,-66.34666667
FM,43.56666667,-66.36,43.23333333,-66.36
BP,43.56666667,-66.37333333,43.23333333,-66.37333333
MS,43.56666667,-66.38666667,43.23333333,-66.38666667
TM,43.56666667,-66.4,43.23333333,-66.4
LM,43.56666667,-66.41333333,43.23333333,-66.41333333
LM,43.56666667,-66.42666667,43.23333333,-66.42666667
LJ,43.56666667,-66.44,43.23333333,-66.44
FM,43.56666667,-66.45333333,43.23333333,-66.45333333
BP,43.56666667,-66.46666667,43.23333333,-66.46666667
MS,43.56666667,-66.48,43.23333333,-66.48
TM,43.56666667,-66.49333333,43.23333333,-66.49333333
LB,43.502,-66.23,43.2475,-66.23
LB,43.502,-66.215,43.2475,-66.215
LJ,43.502,-66.2,43.2475,-66.2
FM,43.502,-66.185,43.2475,-66.185
BP,43.502,-66.17,43.2475,-66.17
MS,43.502,-66.155,43.2475,-66.155
TM,43.502,-66.14,43.2475,-66.14
LM,43.502,-66.125,43.2475,-66.125
