Vessel,Transect No.,Date Time Start,Date Time End,Start Lon,Start Lat,End Lon,End Lat,Dist (km)
BP,T01,2026-05-10 18:31:07,2026-05-10 21:07:35,-65.22903405,45.12250103,-64.77577385,45.27863346,39.688032777
BP,T02,2026-05-10 21:14:44,2026-05-10 23:40:25,-64.78531162,45.29108297,-65.23608038,45.1355878,39.47046435
BP,T03,2026-05-10 23:46:39,2026-05-11 02:04:11,-65.23634663,45.15036292,-64.80995759,45.29975589,37.44588344
FM,T01,2026-05-10 20:04:57,2026-05-10 22:29:29,-65.2234223,45.1702208,-64.82463636,45.31216952,35.702434074
LM,T01,2026-05-10 18:58:40,2026-05-10 21:40:20,-65.20645635,45.0988624,-64.74281673,45.25226724,40.61174538
LM,T04,2026-05-10 23:55:55,2026-05-11 02:43:03,-64.75835419,45.26790429,-65.23137061,45.10598443,41.6907907
FM,T02,2026-05-10 22:33:50,2026-05-10 23:48:30,-64.83257912,45.31658747,-65.04988738,45.25275218,18.62549804
FM,T03,2026-05-10 23:53:20,2026-05-11 01:00:04,-65.04946479,45.26328082,-64.84950384,45.32379413,17.17379516
FM,T04,2026-05-11 01:07:22,2026-05-11 02:10:14,-64.8661213,45.3320327,-65.05042825,45.27745951,15.82075338
FM,T05,2026-05-11 02:15:17,2026-05-11 03:11:01,-65.05065847,45.28939736,-64.8852413,45.33889422,14.24161149
LM,T02,2026-05-10 21:40:21,2026-05-10 22:45:33,-64.74276387,45.2522807,-64.54800755,45.3075692,16.6249741
LM,T03,2026-05-10 22:53:12,2026-05-10 23:55:54,-64.55067189,45.32884542,-64.75830249,45.26792589,17.7943786
