id,Region_ID,Region_name,Region_class,Process_ID,Depth_mean,Ping_S,Ping_E,Dist_S,Dist_E,Date_S,Time_S,Date_E,Time_E,Lat_S,Lon_S,Lat_E,Lon_E,Program_version,Processing_date,Processing_time,EV_filename,Uncorrected_area,Area_Backscatter_Strength,Frequency,Region_notes
1,1,BP_T01,Transect,514,37.604256,971,10359,1858.082263,41546.11504,20260510, 18:31:07.6830,20260510, 21:07:35.6810,45.12250103,-65.22903405,45.27863346,-64.77577385,14.0.230.0,20260525, 10:38:56.5580,BP_May_10_2026,2525244.431,-60.01990773,38,
2,2,BP_T02,Transect,514,31.535854,10788,19529,43603.89993,83074.36428,20260510, 21:14:44.6820,20260510, 23:40:25.6820,45.29108297,-64.78531162,45.1355878,-65.23608038,14.0.230.0,20260525, 10:38:56.5580,BP_May_10_2026,2060733.195,-44.07533274,38,
3,3,BP_T03,Transect,514,25.618946,19903,28155,84831.96816,122277.8516,20260510, 23:46:39.6830,20260511, 02:04:11.6830,45.15036292,-65.23634663,45.29975589,-64.80995759,14.0.230.0,20260525, 10:38:56.5580,BP_May_10_2026,1494734.455,-44.59485563,38,
4,1,FM_T01,Transect,515,28.005046,592,9245,4455.737156,40158.17123,20260510, 20:04:57.6020,20260510, 22:29:29.6020,45.1702208,-65.2234223,45.31216952,-64.82463636,14.0.230.0,20260525, 10:39:02.6830,FM_May_10_2026,1653931.293,-47.70962588,38,
5,2,FM_T02,Transect,515,29.377991,9506,13986,41110.9661,59736.46414,20260510, 22:33:50.6030,20260510, 23:48:30.6030,45.31658747,-64.83257912,45.25275218,-65.04988738,14.0.230.0,20260525, 10:39:02.6830,FM_May_10_2026,876180.4783,-55.43288347,38,
6,3,FM_T03,Transect,515,25.349667,14276,18280,61050.32459,78224.11975,20260510, 23:53:20.6020,20260511, 01:00:04.6130,45.26328082,-65.04946479,45.32379413,-64.84950384,14.0.230.0,20260525, 10:39:02.6830,FM_May_10_2026,700546.0954,-43.07793431,38,
7,4,FM_T04,Transect,515,22.278911,18718,22490,79998.87203,95819.62541,20260511, 01:07:22.6020,20260511, 02:10:14.6040,45.3320327,-64.8661213,45.27745951,-65.05042825,14.0.230.0,20260525, 10:39:02.6830,FM_May_10_2026,561163.2815,-50.44960318,38,
8,5,FM_T05,Transect,515,22.53681,22793,26137,97342.34461,111583.9561,20260511, 02:15:17.6020,20260511, 03:11:01.6020,45.28939736,-65.05065847,45.33889422,-64.8852413,14.0.230.0,20260525, 10:39:02.6830,FM_May_10_2026,506015.1897,-53.40951352,38,
9,1,LM_T01,Transect,516,32.720365,26,9726,81637.41822,122249.1636,20260510, 18:58:40.7830,20260510, 21:40:20.7830,45.0988624,-65.20645635,45.25226724,-64.74281673,14.0.230.0,20260525, 10:39:13.0250,LM_May_10_2026,2289774.146,-50.44584296,38,
10,2,LM_T02,Transect,516,28.507192,9727,13639,122253.5759,138878.55,20260510, 21:40:21.7820,20260510, 22:45:33.7820,45.2522807,-64.74276387,45.3075692,-64.54800755,14.0.230.0,20260525, 10:39:13.0250,LM_May_10_2026,769702.8061,-60.77970222,38,
11,3,LM_T03,Transect,516,41.035521,14098,17860,141356.1083,159150.4869,20260510, 22:53:12.7820,20260510, 23:55:54.7820,45.32884542,-64.55067189,45.26792589,-64.75830249,14.0.230.0,20260525, 10:39:13.0250,LM_May_10_2026,1225786.105,-63.61273041,38,
12,4,LM_T04,Transect,516,31.815194,17861,27889,159155.2015,200845.9922,20260510, 23:55:55.7820,20260511, 02:43:03.7820,45.26790429,-64.75835419,45.10598443,-65.23137061,14.0.230.0,20260525, 10:39:13.0250,LM_May_10_2026,2263355.286,-50.34336871,38,
