Vessel,Transect No.,Date Time Start,Date Time End,Start Lon,Start Lat,End Lon,End Lat,Dist (km)
BP,T01,2026-05-24 19:14:44,2026-05-24 21:42:21,-65.22709427,45.16922024,-64.81815359,45.31430764,36.544180646
FM,T01,2026-05-24 20:30:40,2026-05-24 23:21:19,-65.2349009,45.12129328,-64.77889859,45.27814306,40.378107159
FM,T02,2026-05-24 23:26:17,2026-05-25 02:02:59,-64.79166503,45.28904558,-65.23569047,45.1350855,39.2407881
FM,T03,2026-05-25 02:09:36,2026-05-25 04:39:17,-65.23567082,45.15061751,-64.80844156,45.29994152,37.80900016
LM,T01,2026-05-24 19:24:25,2026-05-24 22:16:05,-65.23261386,45.09133512,-64.74553573,45.25421835,42.769946542
LM,T04,2026-05-25 00:26:44,2026-05-25 03:06:11,-64.75477626,45.27030203,-65.23429025,45.10561388,42.1231338
BP,T02,2026-05-24 21:44:23,2026-05-24 22:55:29,-64.82139926,45.31923543,-65.04532811,45.25177758,19.1328127
BP,T03,2026-05-24 23:00:30,2026-05-25 00:07:36,-65.0483436,45.2631992,-64.84539128,45.32602955,17.41432287
BP,T04,2026-05-25 00:12:29,2026-05-25 01:10:14,-64.8564262,45.33510833,-65.0463612,45.27756914,16.23140537
BP,T05,2026-05-25 01:13:35,2026-05-25 02:00:48,-65.05043447,45.28501047,-64.88456187,45.33738413,14.29739977
LM,T02,2026-05-24 22:16:07,2026-05-24 23:21:46,-64.7454318,45.25423914,-64.54866063,45.30874033,16.83110275
LM,T03,2026-05-24 23:28:28,2026-05-25 00:26:42,-64.55036767,45.32802237,-64.75466324,45.27034393,17.44106557
