id,Vessel,Y,X,Yend,Xend,Comment
1,BP,45.03636667,-65.23333333,45.21621667,-64.68106667,Main
2,LM,45.05084444,-65.23333333,45.22682222,-64.69705926,Main
3,MS,45.06532222,-65.23333333,45.23742778,-64.71305185,Main
4,MS,45.0798,-65.23333333,45.24803333,-64.72904444,Main
5,BP,45.09427778,-65.23333333,45.25863889,-64.74503704,Main
6,FM,45.10875556,-65.23333333,45.26924444,-64.76102963,Main
7,FM,45.12323333,-65.23333333,45.27985,-64.77702222,Main
8,MS,45.13771111,-65.23333333,45.29045556,-64.79301481,Main
9,BP,45.15218889,-65.23333333,45.30106111,-64.80900741,Main
10,LJ,45.16666667,-65.23333333,45.31166667,-64.825,Main
11,LJ,45.25,-65.05,45.31666667,-64.83333333,Northern
12,LJ,45.263055,-65.05,45.32444333,-64.85,Northern
13,LJ,45.27611,-65.05,45.33222167,-64.86666667,Northern
14,LJ,45.28916667,-65.05,45.34,-64.88333333,Northern
15,LM,45.22458333,-64.69133333,45.26375,-64.55,Eastern
16,LM,45.23927667,-64.71327667,45.28527667,-64.55,Eastern
17,LM,45.25397167,-64.73522167,45.306805,-64.55,Eastern
18,FM,45.26866667,-64.75716667,45.32833333,-64.55,Eastern
