Vessel,Start.Lat,Start.Lon,End.Lat,End.Lon
MS,45.03636667,-65.23333333,45.21621667,-64.68106667
LM,45.05498095,-65.23333333,45.22985238,-64.70162857
FM,45.07359524,-65.23333333,45.2434881,-64.72219048
BP,45.09220952,-65.23333333,45.25712381,-64.74275238
MS,45.11082381,-65.23333333,45.27075952,-64.76331429
LM,45.1294381,-65.23333333,45.28439524,-64.78387619
FM,45.14805238,-65.23333333,45.29803095,-64.8044381
BP,45.16666667,-65.23333333,45.31166667,-64.825
LJ,45.25,-65.05,45.31666667,-64.83333333
LJ,45.26305,-65.05,45.32445,-64.85
LJ,45.27611667,-65.05,45.33221667,-64.86666667
LJ,45.28916667,-65.05,45.34,-64.88333333
LB,45.22458333,-64.69133333,45.26375,-64.55
LB,45.23927778,-64.71327778,45.28527778,-64.55
LB,45.25397222,-64.73522222,45.30680556,-64.55
LB,45.26866667,-64.75716667,45.32833333,-64.55
