Vessel,Start.Lat,Start.Lon,End.Lat,End.Lon,Line number,
v6,45.03636667,-65.23333333,45.21621667,-64.68106667,1,1
v1,45.22458333,-64.69133333,45.26375,-64.55,2,EB1
v6,45.04821212,-65.23333333,45.22489394,-64.69415152,3,2
v1,45.06005758,-65.23333333,45.23357121,-64.70723636,4,3
v2,45.23927778,-64.71327778,45.28527778,-64.55,5,EB2
v1,45.07190303,-65.23333333,45.24224848,-64.72032121,6,4
v2,45.08374848,-65.23333333,45.25092576,-64.73340606,7,5
v3,45.25397222,-64.73522222,45.30680556,-64.55,8,EB3
v2,45.09559394,-65.23333333,45.25960303,-64.74649091,9,6
v3,45.10743939,-65.23333333,45.2682803,-64.75957576,10,7
v4,45.26866667,-64.75716667,45.32833333,-64.55,11,EB4
v3,45.11928485,-65.23333333,45.27695758,-64.77266061,12,8
v5,45.25,-65.05,45.31666667,-64.83333333,13,NB1
v4,45.15482121,-65.23333333,45.30298939,-64.81191515,14,11
v4,45.1311303,-65.23333333,45.28563485,-64.78574545,15,9
v5,45.16666667,-65.23333333,45.31166667,-64.825,17,12
v5,45.14297576,-65.23333333,45.29431212,-64.7988303,18,10
