Vessel,Transect.No.,Date.Time.Start,Date.Time.End,X,Y,Xend,Yend,Dist..km.,Type,Survey,Location,Distance,Start,End,Duration,Speed,Year,Date
BP,T01,2026-07-19T20:09:35Z,2026-07-19T22:55:16Z,-65.233195,45.08338391,-64.76261801,45.2413627,41.241458829,Actual,6,SB,41.241458829,2026-07-19T20:09:35Z,2026-07-19T22:55:16Z,165.68333333333334,8.06425886029206,2026,2026-07-19
BP,T02,2026-07-19T23:22:19Z,2026-07-20T01:18:28Z,-64.82391356,45.29735103,-65.2002888,45.16414392,33.099055130000004,Actual,6,SB,33.099055130000004,2026-07-19T23:22:19Z,2026-07-20T01:18:28Z,116.14999999999999,9.232209402195322,2026,2026-07-19
FM,T01,2026-07-19T21:50:49Z,2026-07-20T00:40:42Z,-65.23870957,45.09345854,-64.74901361,45.25890328,43.351176364,Actual,6,SB,43.351176364,2026-07-19T21:50:49Z,2026-07-20T00:40:42Z,169.88333333333333,8.267217763504146,2026,2026-07-19
FM,T02,2026-07-20T01:14:55Z,2026-07-20T03:39:16Z,-64.8248185,45.31029292,-65.23199897,45.16777835,36.3020403,Actual,6,SB,36.3020403,2026-07-20T01:14:55Z,2026-07-20T03:39:16Z,144.35,8.147483895249048,2026,2026-07-20
LB,T01,2026-07-19T19:49:29Z,2026-07-19T23:34:44Z,-65.24208167,45.05742167,-64.71595258,45.23130038,47.21099998,Actual,6,SB,47.21099998,2026-07-19T19:49:29Z,2026-07-19T23:34:44Z,225.25,6.7902797041156635,2026,2026-07-19
LB,T02,2026-07-20T00:15:07Z,2026-07-20T03:24:04Z,-64.79836739,45.27905162,-65.23344,45.130975,38.54644198,Actual,6,SB,38.54644198,2026-07-20T00:15:07Z,2026-07-20T03:24:04Z,188.95,6.609166073776413,2026,2026-07-20
LJ,T01,2026-07-19T20:46:58Z,2026-07-19T23:50:40Z,-65.23521,45.04760333,-64.69540507,45.22552271,47.02932315,Actual,6,SB,47.02932315,2026-07-19T20:46:58Z,2026-07-19T23:50:40Z,183.7,8.294091772082746,2026,2026-07-19
LJ,T02,2026-07-20T00:18:39Z,2026-07-20T03:07:21Z,-64.76805684,45.27708923,-65.23135627,45.12001949,40.48587098,Actual,6,SB,40.48587098,2026-07-20T00:18:39Z,2026-07-20T03:07:21Z,168.7,7.774951140660265,2026,2026-07-20
LM,T01,2026-07-19T20:39:15Z,2026-07-19T23:39:32Z,-65.23383885,45.0728082,-64.72107682,45.2418553,44.919744366,Actual,6,SB,44.919744366,2026-07-19T20:39:15Z,2026-07-19T23:39:32Z,180.28333333333333,8.072182295313437,2026,2026-07-19
LM,T02,2026-07-20T00:10:55Z,2026-07-20T02:45:26Z,-64.79665285,45.29403373,-65.23352411,45.1422177,38.61342152,Actual,6,SB,38.61342152,2026-07-20T00:10:55Z,2026-07-20T02:45:26Z,154.51666666666668,8.096032066383,2026,2026-07-20
