Vessel,Start Lat,Start Lon,End Lat,End Lon
V1,4334,6629.6,4314,6629.6
V2,4334,6627.911111,4314,6627.911111
V3,4334,6626.222222,4314,6626.222222
V4,4334,6624.533333,4314,6624.533333
V5,4334,6622.844444,4314,6622.844444
V1,4334,6621.155556,4314,6621.155556
V2,4334,6619.466667,4314,6619.466667
V3,4334,6617.777778,4314,6617.777778
V4,4334,6616.088889,4314,6616.088889
V5,4334,6614.4,4314,6614.4
V1,4330.12,6613.8,4314.85,6613.8
V2,4330.12,6612.225,4314.85,6612.225
V3,4330.12,6610.65,4314.85,6610.65
V4,4330.12,6609.075,4314.85,6609.075
V5,4330.12,6607.5,4314.85,6607.5
