Vessel,Start Lat,Start Lon,End Lat,End Lon
V1,43.56666667,-66.49333333,43.23333333,-66.49333333
V2,43.56666667,-66.47384615,43.23333333,-66.47384615
V3,43.56666667,-66.45435897,43.23333333,-66.45435897
V4,43.56666667,-66.43487179,43.23333333,-66.43487179
V5,43.56666667,-66.41538462,43.23333333,-66.41538462
V6,43.56666667,-66.39589744,43.23333333,-66.39589744
V7,43.56666667,-66.37641026,43.23333333,-66.37641026
V1,43.56666667,-66.35692308,43.23333333,-66.35692308
V2,43.56666667,-66.3374359,43.23333333,-66.3374359
V3,43.56666667,-66.31794872,43.23333333,-66.31794872
V4,43.56666667,-66.29846154,43.23333333,-66.29846154
V5,43.56666667,-66.27897436,43.23333333,-66.27897436
V6,43.56666667,-66.25948718,43.23333333,-66.25948718
V7,43.56666667,-66.24,43.23333333,-66.24
V1,43.502,-66.23,43.2475,-66.23
V2,43.502,-66.2125,43.2475,-66.2125
V3,43.502,-66.195,43.2475,-66.195
V4,43.502,-66.1775,43.2475,-66.1775
V5,43.502,-66.16,43.2475,-66.16
V6,43.502,-66.1425,43.2475,-66.1425
V7,43.502,-66.125,43.2475,-66.125
