Vessel,Start Lat,Start Lon,End Lat,End Lon
V1,4334,6629.6,4314,6629.6
V2,4334,6627.428571,4314,6627.428571
V3,4334,6625.257143,4314,6625.257143
V4,4334,6623.085714,4314,6623.085714
V1,4334,6620.914286,4314,6620.914286
V2,4334,6618.742857,4314,6618.742857
V3,4334,6616.571429,4314,6616.571429
V4,4334,6614.4,4314,6614.4
V1,4330.12,6613.8,4314.85,6613.8
V2,4330.12,6612.9,4314.85,6612.9
V3,4330.12,6612,4314.85,6612
V4,4330.12,6611.1,4314.85,6611.1
V1,4330.12,6610.2,4314.85,6610.2
V2,4330.12,6609.3,4314.85,6609.3
V3,4330.12,6608.4,4314.85,6608.4
V4,4330.12,6607.5,4314.85,6607.5
