Vessel,Start Lat,Start Lon,End Lat,End Lon
V1,43.56666667,-66.49333333,43.23333333,-66.49333333
V2,43.56666667,-66.44266667,43.23333333,-66.44266667
V3,43.56666667,-66.392,43.23333333,-66.392
V1,43.56666667,-66.34133333,43.23333333,-66.34133333
V2,43.56666667,-66.29066667,43.23333333,-66.29066667
V3,43.56666667,-66.24,43.23333333,-66.24
V1,43.502,-66.23,43.2475,-66.23
V2,43.502,-66.209,43.2475,-66.209
V3,43.502,-66.188,43.2475,-66.188
V1,43.502,-66.167,43.2475,-66.167
V2,43.502,-66.146,43.2475,-66.146
V3,43.502,-66.125,43.2475,-66.125
