Vessel,Start Lat,Start Lon,End Lat,End Lon
V3,43.56666667,-66.49333333,43.23333333,-66.49333333
V2,43.56666667,-66.45984848,43.23333333,-66.45984848
V1,43.56666667,-66.42636364,43.23333333,-66.42636364
V3,43.56666667,-66.39287879,43.23333333,-66.39287879
V2,43.56666667,-66.35939394,43.23333333,-66.35939394
V1,43.56666667,-66.32590909,43.23333333,-66.32590909
V3,43.56666667,-66.29242424,43.23333333,-66.29242424
V2,43.56666667,-66.25893939,43.23333333,-66.25893939
V1,43.502,-66.22545455,43.2475,-66.22545455
V3,43.502,-66.1919697,43.2475,-66.1919697
V2,43.502,-66.15848485,43.2475,-66.15848485
V1,43.502,-66.125,43.2475,-66.125
