Vessel,Start Lat,Start Lon,End Lat,End Lon
V1,4502.182,6514,4512.973,6440.864
V2,4502.7032,6514,4513.3548,6441.439733
V3,4503.2244,6514,4513.7366,6442.015467
V4,4503.7456,6514,4514.1184,6442.5912
V5,4504.2668,6514,4514.5002,6443.166933
V6,4504.788,6514,4514.882,6443.742667
V7,4505.3092,6514,4515.2638,6444.3184
V8,4505.8304,6514,4515.6456,6444.894133
V1,4506.3516,6514,4516.0274,6445.469867
V2,4506.8728,6514,4516.4092,6446.0456
V3,4507.394,6514,4516.791,6446.621333
V4,4507.9152,6514,4517.1728,6447.197067
V5,4508.4364,6514,4517.5546,6447.7728
V6,4508.9576,6514,4517.9364,6448.348533
V7,4509.4788,6514,4518.3182,6448.924267
V8,4510,6514,4518.7,6449.5
