Vessel,Start Lat,Start Lon,End Lat,End Lon
V1,45.03636667,-65.23333333,45.21621667,-64.68106667
V2,45.04403137,-65.23333333,45.22183137,-64.68953333
V3,45.05169608,-65.23333333,45.22744608,-64.698
V4,45.05936078,-65.23333333,45.23306078,-64.70646667
V5,45.06702549,-65.23333333,45.23867549,-64.71493333
V6,45.0746902,-65.23333333,45.2442902,-64.7234
V7,45.0823549,-65.23333333,45.2499049,-64.73186667
V8,45.09001961,-65.23333333,45.25551961,-64.74033333
V9,45.09768431,-65.23333333,45.26113431,-64.7488
V1,45.10534902,-65.23333333,45.26674902,-64.75726667
V2,45.11301373,-65.23333333,45.27236373,-64.76573333
V3,45.12067843,-65.23333333,45.27797843,-64.7742
V4,45.12834314,-65.23333333,45.28359314,-64.78266667
V5,45.13600784,-65.23333333,45.28920784,-64.79113333
V6,45.14367255,-65.23333333,45.29482255,-64.7996
V7,45.15133725,-65.23333333,45.30043725,-64.80806667
V8,45.15900196,-65.23333333,45.30605196,-64.81653333
V9,45.16666667,-65.23333333,45.31166667,-64.825
