id,Vessel,Y,X,Yend,Xend
1,FM,45.16666667,-65.23333333,45.31166667,-64.825
2,FM,45.31666667,-64.83333333,45.25,-65.05
3,FM,45.32444333,-64.85,45.263055,-65.05
4,FM,45.33222167,-64.86666667,45.27611,-65.05
5,FM,45.34,-64.88333333,45.28916667,-65.05
6,MS,45.12316667,-65.23333333,45.27983333,-64.777
7,MS,45.13766667,-65.23333333,45.2905,-64.793
8,MS,45.15216667,-65.23333333,45.301,-64.809
9,LM,45.07983333,-65.23333333,45.248,-64.729
10,LM,45.09433333,-65.23333333,45.25866667,-64.745
11,LM,45.10866667,-65.23333333,45.26916667,-64.761
